genus,species,common_names,regions
Scaphium,spp.,kembang semangkok,MYS;MMR;THA
Schefflera,morototoni,morototo,ARG;BRA;COL;CUB;MEX;PRI;SUR;VEN
Schinus,molle,peruvian pepper,FRA;GBR
Schizolobium,amazonicum,gavilan,
Scorodocarpus,borneensis,kulim,MYS
Scorodophloeus,zenkeri,divida,
Scottellia,coriacea,akossika,CMR;CAF;GAB;GHA;LBR;NGA;DEU;ITA;GBR
Scottellia,spp.,akossika,CMR;CAF;GAB;GHA;LBR;NGA;DEU;ITA;GBR
Scyphocephalium,mannii,ossoko,GAB
Scyphocephalium,ochocoa,ossoko,GAB
Scytopetalum,spp.,odzikouna,
Senna,siamea,djohar,FRA
Shorea,acuminata, dark red meranti; light red meranti,IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA
Shorea,acuminatissima, yellow meranti,IDN;MYS;THA
Shorea,agami, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,albida,alan; light red meranti,MYS;IDN;MYS;PHL;THA
Shorea,argentea,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,argentifolia, dark red meranti; light red meranti,IDN;MYS;PHL;GBR;USA;IDN;MYS;PHL;THA
Shorea,assamica, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,atrinervosa,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,balangeran,balau red ;balau yellow ,IDN;MYS;PHL;THA;DEU;GBR;IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,barbata,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,blumutensis, yellow meranti,IDN;MYS;THA
Shorea,bracteolata, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,ciliata,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,collina,balau red ,IDN;MYS;PHL;THA;DEU;GBR
Shorea,curtisii, dark red meranti,IDN;MYS;PHL;GBR;USA
Shorea,dasyphylla, light red meranti,IDN;MYS;PHL;THA
Shorea,dealbata, white meranti,KHM;IDN;MYS;MMR;PHL;THA;VNM
Shorea,dolichocarpa, yellow meranti,IDN;MYS;THA
Shorea,exelliptica,balau yellow ,IND;IDN;MYS;MMR;PHL;THA;DEU;GBR
Shorea,faguetiana, yellow meranti,IDN;MYS;THA
Shorea,faguetioides, yellow meranti,IDN;MYS;THA
