main_common_name,Status code,Common Name,genus,species,common_name
seychelles pandanus,NT,vakwa maron,Pandanus,sechellarum,vakwa maron;seychelles pandanus
seychelles pandanus,NT,seychelles pandanus,Pandanus,sechellarum,seychelles pandanus;seychelles pandanus
,EN,bwa dou,Craterispermum,microdon,bwa dou
,NT,ikzora blan,Ixora,pudica,ikzora blan
wright's gardenia,CR,wright's gardenia,Rothmannia,annae,wright's gardenia;wright's gardenia
wright's gardenia,CR,bwa citron,Rothmannia,annae,bwa citron;wright's gardenia
,NT,bwa-d-nat,Mimusops,sechellarum,bwa-d-nat
,VU,colophant,Soulamea,terminalioides,colophant
,CR,bwa mare pti fey,Drypetes,riseleyi,bwa mare pti fey
,VU,,Ficus,bojeri,
,LC,bwa kalou,Memecylon,elaeagni,bwa kalou
,VU,,Northia,hornei,
,EN,,Canarium,paniculatum,
bois d'ébène feuilles,CR,,Diospyros,angulata,;bois d'ébène feuilles
bois d'ébène marbre à grosses feuilles,VU,,Diospyros,boutoniana,;bois d'ébène marbre à grosses feuilles
bois d'ébène blanc,CR,,Diospyros,chrysophyllos,;bois d'ébène blanc
bois d'ébène marbre feuilles,VU,,Diospyros,leucomelas,;bois d'ébène marbre feuilles
,CR,,Croton,vaughanii,
,EN,,Macaranga,mauritiana,
,EX,,Casearia,tinifolia,
bois de chandelle,EN,bois de chandelle,Dracaena,concinna,bois de chandelle;bois de chandelle
,EN,,Dracaena,floribunda,
,CR,,Badula,platyphylla,
,CR,,Badula,reticulata,
,EN,,Athrotaxis,laxifolia,
morrisby's gum,EN,morrisby's gum,Eucalyptus,morrisbyi,morrisby's gum;morrisby's gum
dwarf mountain pine,CR,dwarf mountain pine,Pherosphaera,fitzgeraldii,dwarf mountain pine;dwarf mountain pine
blue kauri pine,NT,blue kauri pine,Agathis,atropurpurea,blue kauri pine;blue kauri pine
blue kauri pine,NT,black kauri pine,Agathis,atropurpurea,black kauri pine;blue kauri pine
blue kauri pine,NT,black kauri,Agathis,atropurpurea,black kauri;blue kauri pine
blue kauri pine,NT,blue kauri,Agathis,atropurpurea,blue kauri;blue kauri pine
atherton kauri pine,NT,atherton kauri pine,Agathis,microstachya,atherton kauri pine;atherton kauri pine
atherton kauri pine,NT,bull kauri,Agathis,microstachya,bull kauri;atherton kauri pine
atherton kauri pine,NT,bull pine,Agathis,microstachya,bull pine;atherton kauri pine
,LR/lc,tanglar,Aglaia,argentea,tanglar
,LR/lc,kakaduan,Aglaia,argentea,kakaduan
,LR/lc,selang,Aglaia,argentea,selang
,LR/lc,luka-lukam,Aglaia,argentea,luka-lukam
,LR/lc,bayur,Aglaia,argentea,bayur
,LR/lc,bangsal,Aglaia,argentea,bangsal
,LR/lc,pasak,Aglaia,argentea,pasak
,LR/lc,sido,Aglaia,argentea,sido
,LR/lc,balik angin,Aglaia,argentea,balik angin
,LR/lc,kesemeg,Aglaia,argentea,kesemeg
,LR/lc,balik sempa,Aglaia,argentea,balik sempa
,LR/lc,durenen,Aglaia,argentea,durenen
,EN,,Xanthostemon,oppositifolius,
