sc_name,genus,species,family,iucn_status_code,common_names,regions,wwf_high_risk_flag
Acer circinatum,Acer,circinatum,Sapindaceae,,,,
Acer drummondi,Acer,drummondi,Sapindaceae,,,,
Acer duplicatoserratum,Acer,duplicatoserratum,Sapindaceae,,,,
Acer erythranthum,Acer,erythranthum,Sapindaceae,,,,
Acer floridanum,Acer,floridanum,Sapindaceae,,,,
Acer formosanum,Acer,formosanum,Sapindaceae,,,,
Acer glabrum,Acer,glabrum,Sapindaceae,,,,
Acer grandidentatum,Acer,grandidentatum,Sapindaceae,,,,
Acer heldreichii,Acer,heldreichii,Sapindaceae,,,,
Acer leipoense,Acer,leipoense,Sapindaceae,,,,
Acer leucoderme,Acer,leucoderme,Sapindaceae,,,,
Acer lobelii,Acer,lobelii,Sapindaceae,,,,
Acer macrophyllum,Acer,macrophyllum,Sapindaceae,,,,
Acer membranaceum,Acer,membranaceum,Sapindaceae,,,,
Acer miaotaiense,Acer,miaotaiense,Sapindaceae,,,,
Acer microcarpum,Acer,microcarpum,Sapindaceae,,,,
Acer monspessulanum,Acer,monspessulanum,Sapindaceae,,,,
Acer negundo,Acer,negundo,Sapindaceae,,,,
Acer nigrum,Acer,nigrum,Sapindaceae,,,,
Acer oblongum,Acer,oblongum,Sapindaceae,,,,
Acer obtusifolium,Acer,obtusifolium,Sapindaceae,,,,
Acer palmatum,Acer,palmatum,Sapindaceae,,,,
Acer pensylvanicum,Acer,pensylvanicum,Sapindaceae,,,,
Acer pentapomicum,Acer,pentapomicum,Sapindaceae,,,,
Acer pictum,Acer,pictum,Sapindaceae,,,,
Acer platanoides,Acer,platanoides,Sapindaceae,,,,
Acer platanus,Acer,platanus,Sapindaceae,,,,
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,,,,
Acer rubrum,Acer,rubrum,Sapindaceae,,,,
Acer saccharinum,Acer,saccharinum,Sapindaceae,,,,
Acer saccharum,Acer,saccharum,Sapindaceae,,,,
Acer skutchii,Acer,skutchii,Sapindaceae,,,,
Acer undulatum,Acer,undulatum,Sapindaceae,,,,
Acer velutinum,Acer,velutinum,Sapindaceae,,,,
Aceras anthropophorum,Aceras,anthropophorum,,,,,
Aceratorchis albiflora,Aceratorchis,albiflora,,,,,
Acharagma aguirreanum,Acharagma,aguirreanum,,,,,
Acharagma roseanum,Acharagma,roseanum,,,,,
Achillea crithmifolia,Achillea,crithmifolia,,,,,
Achillea glaberrima,Achillea,glaberrima,,,,,
Achillea millefolium,Achillea,millefolium,,,,,
Achillea ptarmica,Achillea,ptarmica,,,,,
Achillea thracica,Achillea,thracica,,,,,
Achnatherum roshevitzii,Achnatherum,roshevitzii,,,,,
Achyranthes atollensis,Achyranthes,atollensis,,,,,
Achyranthes mutica,Achyranthes,mutica,,,,,
Achyranthes rotundata,Achyranthes,rotundata,,,,,
Achyranthes splendens,Achyranthes,splendens,,,,,
Achyranthes talbotii,Achyranthes,talbotii,,,,,
Achyrocline glandulosa,Achyrocline,glandulosa,,,,,
Achyrocline hallii,Achyrocline,hallii,,,,,
Achyrocline mollis,Achyrocline,mollis,,,,,
Achyropsis filifolia,Achyropsis,filifolia,,,,,
Achyrospermum seychellarum,Achyrospermum,seychellarum,,,,,
Acianthera adeodata,Acianthera,adeodata,,,,,
Acianthera alligatorifera,Acianthera,alligatorifera,,,,,
Acianthera aveniformis,Acianthera,aveniformis,,,,,
Acianthera bicarinata,Acianthera,bicarinata,,,,,
Acianthera bragae,Acianthera,bragae,,,,,
Acianthera capillaris,Acianthera,capillaris,,,,,
Acianthera chrysantha,Acianthera,chrysantha,,,,,
Acianthera ciliata,Acianthera,ciliata,,,,,
Acianthera compressicaulis,Acianthera,compressicaulis,,,,,
Acianthera crepiniana,Acianthera,crepiniana,,,,,
Acianthera fenestrata,Acianthera,fenestrata,,,,,
Acianthera fockei,Acianthera,fockei,,,,,
Acianthera geminicaulina,Acianthera,geminicaulina,,,,,
Acianthera hondurensis,Acianthera,hondurensis,,,,,
Acianthera johannensis,Acianthera,johannensis,,,,,
Acianthera leptotifolia,Acianthera,leptotifolia,,,,,
Acianthera limae,Acianthera,limae,,,,,
Acianthera malachantha,Acianthera,malachantha,,,,,
Acianthera melanochthoda,Acianthera,melanochthoda,,,,,
Acianthera modestissima,Acianthera,modestissima,,,,,
Acianthera oscitans,Acianthera,oscitans,,,,,
Acianthera pacayana,Acianthera,pacayana,,,,,
Acianthera pectinata,Acianthera,pectinata,,,,,
Acianthera platystachys,Acianthera,platystachys,,,,,
Acianthera prolifera,Acianthera,prolifera,,,,,
Acianthera recurva,Acianthera,recurva,,,,,
Acianthera rinkei,Acianthera,rinkei,,,,,
Acianthera saundersiana,Acianthera,saundersiana,,,,,
Acianthera saurocephala,Acianthera,saurocephala,,,,,
Acianthera scalpricaulis,Acianthera,scalpricaulis,,,,,
Acianthera strupifolia,Acianthera,strupifolia,,,,,
Acianthera tokachii,Acianthera,tokachii,,,,,
Acianthera variegata,Acianthera,variegata,,,,,
Acianthera verecunda,Acianthera,verecunda,,,,,
Acianthera violacea,Acianthera,violacea,,,,,
Acianthera zumbae,Acianthera,zumbae,,,,,
Acianthus aegeridantennatus,Acianthus,aegeridantennatus,,,,,
Acianthus amplexicaulis,Acianthus,amplexicaulis,,,,,
Acianthus apprimus,Acianthus,apprimus,,,,,
Acianthus atepalus,Acianthus,atepalus,,,,,
Acianthus bracteatus,Acianthus,bracteatus,,,,,
Acianthus confusus,Acianthus,confusus,,,,,
Acianthus corniculatus,Acianthus,corniculatus,,,,,
Acianthus cymbalariifolius,Acianthus,cymbalariifolius,,,,,
Acianthus elegans,Acianthus,elegans,,,,,
Acianthus exiguus,Acianthus,exiguus,,,,,
Acianthus grandiflorus,Acianthus,grandiflorus,,,,,
Acianthus heptadactylus,Acianthus,heptadactylus,,,,,
Acianthus ledwardii,Acianthus,ledwardii,,,,,
Acianthus macroglossus,Acianthus,macroglossus,,,,,
Acianthus oxyglossus,Acianthus,oxyglossus,,,,,
Acianthus sublestus,Acianthus,sublestus,,,,,
Acianthus tenellus,Acianthus,tenellus,,,,,
Acianthus tenuilabris,Acianthus,tenuilabris,,,,,
Acianthus tenuissimus,Acianthus,tenuissimus,,,,,
Acianthus uvarius,Acianthus,uvarius,,,,,
Acianthus veillonis,Acianthus,veillonis,,,,,
Acidocroton gentryi,Acidocroton,gentryi,,,,,
Acidocroton verrucosus,Acidocroton,verrucosus,,,,,
Acineta alticola,Acineta,alticola,,,,,
Acineta antioquiae,Acineta,antioquiae,,,,,
Acineta barkeri,Acineta,barkeri,,,,,
Acineta beyrodtiana,Acineta,beyrodtiana,,,,,
Acineta chrysantha,Acineta,chrysantha,,,,,
Acineta confusa,Acineta,confusa,,,,,
Acineta cryptodonta,Acineta,cryptodonta,,,,,
Acineta dalessandroi,Acineta,dalessandroi,,,,,
Acineta densa,Acineta,densa,,,,,
