sc_name,genus,species,family,iucn_status_code,common_names,regions,wwf_high_risk_flag
Acer glabrum,Acer,glabrum,Sapindaceae,,rocky mountain maple,,
Acer grandidentatum,Acer,grandidentatum,Sapindaceae,,bigtooth maple,,
Acer heldreichii,Acer,heldreichii,Sapindaceae,,mountain maple;zheshlaj,,
Acer leipoense,Acer,leipoense,Sapindaceae,,,,
Acer leucoderme,Acer,leucoderme,Sapindaceae,,chalk maple,,
Acer lobelii,Acer,lobelii,Sapindaceae,,lobel's maple,,
Acer macrophyllum,Acer,macrophyllum,Sapindaceae,,oregon maple;bigleaf maple,,
Acer membranaceum,Acer,membranaceum,Sapindaceae,,,,
Acer miaotaiense,Acer,miaotaiense,Sapindaceae,,,,
Acer microcarpum,Acer,microcarpum,Sapindaceae,,,,
Acer monspessulanum,Acer,monspessulanum,Sapindaceae,,montpellier maple,,
Acer negundo,Acer,negundo,Sapindaceae,,boxelder,,
Acer nigrum,Acer,nigrum,Sapindaceae,,black maple,,
Acer oblongum,Acer,oblongum,Sapindaceae,,himalayan maple,,
Acer obtusifolium,Acer,obtusifolium,Sapindaceae,,syrian maple;cyprus maple,,
Acer palmatum,Acer,palmatum,Sapindaceae,,japanese maple,,
Acer pensylvanicum,Acer,pensylvanicum,Sapindaceae,,striped maple;moosewood,,
Acer pentapomicum,Acer,pentapomicum,Sapindaceae,,,,
Acer pictum,Acer,pictum,Sapindaceae,,the painted maple,,
Acer platanoides,Acer,platanoides,Sapindaceae,,norway maple,,
Acer platanus,Acer,platanus,Sapindaceae,,,,
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,,sycamore,,
Acer rubrum,Acer,rubrum,Sapindaceae,,red maple,,
Acer saccharinum,Acer,saccharinum,Sapindaceae,,silver maple,,
Acer saccharum,Acer,saccharum,Sapindaceae,,sugar maple,,
Acer skutchii,Acer,skutchii,Sapindaceae,,álamo plateado,,
Acer undulatum,Acer,undulatum,Sapindaceae,,,,
Acer velutinum,Acer,velutinum,Sapindaceae,,velvet maple;persian maple,,
Aceras anthropophorum,Aceras,anthropophorum,,,,CHE;PRT;ESP;DEU;TUR;ITA;GBR;NLD;GRC;BEL;BIH;FRA,
Aceratorchis albiflora,Aceratorchis,albiflora,,,,CHN,
Acharagma aguirreanum,Acharagma,aguirreanum,,,,,
Acharagma roseanum,Acharagma,roseanum,,,,,
Achillea crithmifolia,Achillea,crithmifolia,,,yarrow,,
Achillea glaberrima,Achillea,glaberrima,,,,,
Achillea millefolium,Achillea,millefolium,,,yarrow;seoyangtobpul;milenrama;schafgarbe;milfoil;mille-feuille;wiesen-schafgarbe;yang shi cao,,
Achillea ptarmica,Achillea,ptarmica,,,sneezewort;sneezewort yarrow;sneezeweed,,
Achillea thracica,Achillea,thracica,,,,,
Achnatherum roshevitzii,Achnatherum,roshevitzii,,,roshevich's achnatherum,,
Achyranthes atollensis,Achyranthes,atollensis,,,,,
Achyranthes mutica,Achyranthes,mutica,,,blunt chaff flower,,
Achyranthes rotundata,Achyranthes,rotundata,,,round chaff flower;round-leaved chaff flower;round-leaf chaff flower,,
Achyranthes splendens,Achyranthes,splendens,,,round chaff flower;maui chaff flower;round-leaved chaff flower;round-leaf chaff flower,,
Achyranthes talbotii,Achyranthes,talbotii,,,,,
Achyrocline glandulosa,Achyrocline,glandulosa,,,,,
Achyrocline hallii,Achyrocline,hallii,,,,,
Achyrocline mollis,Achyrocline,mollis,,,,,
Achyropsis filifolia,Achyropsis,filifolia,,,,,
Achyrospermum seychellarum,Achyrospermum,seychellarum,,,,,
Acianthera adeodata,Acianthera,adeodata,,,,,
Acianthera alligatorifera,Acianthera,alligatorifera,,,,,
Acianthera aveniformis,Acianthera,aveniformis,,,,BRA,
Acianthera bicarinata,Acianthera,bicarinata,,,,,
Acianthera bragae,Acianthera,bragae,,,,,
Acianthera capillaris,Acianthera,capillaris,,,,,
Acianthera chrysantha,Acianthera,chrysantha,,,,,
Acianthera ciliata,Acianthera,ciliata,,,,,
Acianthera compressicaulis,Acianthera,compressicaulis,,,,,
Acianthera crepiniana,Acianthera,crepiniana,,,,,
Acianthera fenestrata,Acianthera,fenestrata,,,,,
Acianthera fockei,Acianthera,fockei,,,,,
Acianthera geminicaulina,Acianthera,geminicaulina,,,,,
Acianthera hondurensis,Acianthera,hondurensis,,,,,
Acianthera johannensis,Acianthera,johannensis,,,,,
Acianthera leptotifolia,Acianthera,leptotifolia,,,,,
Acianthera limae,Acianthera,limae,,,,,
Acianthera malachantha,Acianthera,malachantha,,,,,
Acianthera melanochthoda,Acianthera,melanochthoda,,,,,
Acianthera modestissima,Acianthera,modestissima,,,,,
Acianthera oscitans,Acianthera,oscitans,,,,,
Acianthera pacayana,Acianthera,pacayana,,,,,
Acianthera pectinata,Acianthera,pectinata,,,,,
Acianthera platystachys,Acianthera,platystachys,,,,,
Acianthera prolifera,Acianthera,prolifera,,,,,
Acianthera recurva,Acianthera,recurva,,,,,
Acianthera rinkei,Acianthera,rinkei,,,,,
Acianthera saundersiana,Acianthera,saundersiana,,,,,
Acianthera saurocephala,Acianthera,saurocephala,,,,,
Acianthera scalpricaulis,Acianthera,scalpricaulis,,,,,
Acianthera strupifolia,Acianthera,strupifolia,,,,,
Acianthera tokachii,Acianthera,tokachii,,,,,
Acianthera variegata,Acianthera,variegata,,,,,
Acianthera verecunda,Acianthera,verecunda,,,,,
Acianthera violacea,Acianthera,violacea,,,,,
Acianthera zumbae,Acianthera,zumbae,,,,,
Acianthus aegeridantennatus,Acianthus,aegeridantennatus,,,,NCL,
Acianthus amplexicaulis,Acianthus,amplexicaulis,,,,AUS,
Acianthus apprimus,Acianthus,apprimus,,,,AUS,
Acianthus atepalus,Acianthus,atepalus,,,,NCL,
Acianthus bracteatus,Acianthus,bracteatus,,,,NCL,
Acianthus confusus,Acianthus,confusus,,,,NCL,
Acianthus corniculatus,Acianthus,corniculatus,,,,NCL,
Acianthus cymbalariifolius,Acianthus,cymbalariifolius,,,,NCL,
Acianthus elegans,Acianthus,elegans,,,,NCL,
Acianthus exiguus,Acianthus,exiguus,,,,AUS,
Acianthus grandiflorus,Acianthus,grandiflorus,,,,NCL,
Acianthus heptadactylus,Acianthus,heptadactylus,,,,NCL,
Acianthus ledwardii,Acianthus,ledwardii,,,,AUS,
Acianthus macroglossus,Acianthus,macroglossus,,,,NCL,
Acianthus oxyglossus,Acianthus,oxyglossus,,,,NCL,
Acianthus sublestus,Acianthus,sublestus,,,,AUS,
Acianthus tenellus,Acianthus,tenellus,,,,NCL,
Acianthus tenuilabris,Acianthus,tenuilabris,,,,NCL,
Acianthus tenuissimus,Acianthus,tenuissimus,,,,AUS,
Acianthus uvarius,Acianthus,uvarius,,,,NCL,
Acianthus veillonis,Acianthus,veillonis,,,,NCL,
Acidocroton gentryi,Acidocroton,gentryi,,,,,
Acidocroton verrucosus,Acidocroton,verrucosus,,,,,
Acineta alticola,Acineta,alticola,,,,VEN;BRA;GUY,
Acineta antioquiae,Acineta,antioquiae,,,,COL,
Acineta barkeri,Acineta,barkeri,,,,MEX;GTM;SLV,
Acineta beyrodtiana,Acineta,beyrodtiana,,,,COL,
Acineta chrysantha,Acineta,chrysantha,,,,CRI;COL;SLV;PAN,
Acineta confusa,Acineta,confusa,,,,,
Acineta cryptodonta,Acineta,cryptodonta,,,,COL,
Acineta dalessandroi,Acineta,dalessandroi,,,,,
Acineta densa,Acineta,densa,,,,CRI,
Acineta erythroxantha,Acineta,erythroxantha,,,,MEX;CRI;COL,
Acineta hennisiana,Acineta,hennisiana,,,,COL,
Acineta hrubyana,Acineta,hrubyana,,,,COL,
Acineta sella-turcica,Acineta,sella-turcica,,,,CRI;COL;PAN,
Acineta sulcata,Acineta,sulcata,,,,,
Acineta superba,Acineta,superba,,,,VEN;COL;SLV;ECU;SUR;PAN,
Aciotis aristellata,Aciotis,aristellata,,,,,
Aciotis asplundii,Aciotis,asplundii,,,,,
Acis autumnalis,Acis,autumnalis,,,campainhas-do-outono;autumn snowflake,,
Acis nicaeensis,Acis,nicaeensis,,,,,
Acmadenia candida,Acmadenia,candida,,,,,
Acmadenia faucitincta,Acmadenia,faucitincta,,,,,
Acmadenia laxa,Acmadenia,laxa,,,,,
Acmella leucantha,Acmella,leucantha,,,,,
Acmella paniculata,Acmella,paniculata,,,panicled spot flower;aachaara,,
Acmella uliginosa,Acmella,uliginosa,,,,,
Acmopyle pancheri,Acmopyle,pancheri,,,,,
Acmopyle sahniana,Acmopyle,sahniana,,,nggamleve;drautabua,,
Aconitum austrokoreense,Aconitum,austrokoreense,,,se-ppul-tu-gu-kkot,,
Aconitum chasmanthum,Aconitum,chasmanthum,,,vatsanabha,,
Aconitum coreanum,Aconitum,coreanum,,,baek-bu-ja,,
Aconitum corsicum,Aconitum,corsicum,,,aconit de corse,,
Aconitum heterophyllum,Aconitum,heterophyllum,,,,,
Aconitum napellus,Aconitum,napellus,,,aconit napel;aconite,,
Aconitum violaceum,Aconitum,violaceum,,,,,
Acorus calamus,Acorus,calamus,,,chang-po;sweet flag,,
Acorus gramineus,Acorus,gramineus,,,japanese sweet flag;japanese rush;dwarf sedge,,
Acostaea trilobata,Acostaea,trilobata,,,,ECU,
Acridocarpus alopecurus,Acridocarpus,alopecurus,,,,,
Acridocarpus congestus,Acridocarpus,congestus,,,,,
Acridocarpus linearifolius,Acridocarpus,linearifolius,,,,,
Acridocarpus machaeropterus,Acridocarpus,machaeropterus,,,,,
