,entity_id,sc_name,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
27685,27686,Abies pindrow,Pinaceae,Abies,pindrow,,pindrow fir;ragha;pindrau;west himalayan fir;badar,,,1.0,0.0
18732,18733,Abies pinsapo,Pinaceae,Abies,pinsapo,,spanish fir;pinsapo,,,1.0,1.0
1664,1665,Abies procera,Pinaceae,Abies,procera,,noble fir,,,1.0,0.0
1804,1805,Abies procera,Pinaceae,Abies,procera,,,,,1.0,
22219,22220,Abies recurvata,Pinaceae,Abies,recurvata,,,,,1.0,1.0
27115,27116,Abies religiosa,Pinaceae,Abies,religiosa,,sacred fir;oyamel;oyamel fir,,,1.0,0.0
22221,22222,Abies sachalinensis,Pinaceae,Abies,sachalinensis,,,,,1.0,0.0
22239,22240,Abies sibirica semenovii,Pinaceae,Abies,sibirica,semenovii,tienshan fir,,,1.0,0.0
32667,32668,Abies sibirica sibirica,Pinaceae,Abies,sibirica,sibirica,西伯利亚冷杉;пихта сибирская;xian bei leng shan;siberian fir,,,1.0,0.0
1665,1666,Abies sibirica,Pinaceae,Abies,sibirica,,西伯利亚冷杉;пихта сибирская;xian bei leng shan;siberian fir,,,1.0,0.0
1805,1806,Abies sibirica,Pinaceae,Abies,sibirica,,,,,1.0,
22224,22225,Abies sikokiana,Pinaceae,Abies,sikokiana,,shikoku-shirabe;shikoku fir,,,1.0,1.0
32660,32661,Abies smithii,Pinaceae,Abies,smithii,,,,,1.0,1.0
1666,1667,Abies spectabilis,Pinaceae,Abies,spectabilis,,bang;chilrao;webb fir;himalayan fir;paludar;xizang leng shan;badar;西藏冷杉,,,1.0,1.0
1806,1807,Abies spectabilis,Pinaceae,Abies,spectabilis,,,,,1.0,
22223,22224,Abies squamata,Pinaceae,Abies,squamata,,flaky fir;linpi leng shan;鳞皮冷杉,,,1.0,1.0
35795,35796,Abies sutchuensis,Pinaceae,Abies,sutchuensis,,,,,1.0,0.0
32661,32662,Abies umbellata,Pinaceae,Abies,umbellata,,,,,1.0,1.0
22225,22226,Abies veitchii,Pinaceae,Abies,veitchii,,shira-biso;veitch’s fir,,,1.0,0.0
17502,17503,Abies vejarii,Pinaceae,Abies,vejarii,,,,,1.0,1.0
20621,20622,Abies yuanbaoshanensis,Pinaceae,Abies,yuanbaoshanensis,,元宝山冷杉;yuanbaoshan fir;yuanbaoshan lengshan,,,1.0,1.0
20622,20623,Abies ziyuanensis,Pinaceae,Abies,ziyuanensis,,资源冷杉;ziyuan lengshan;ziyuan fir,,,1.0,1.0
38716,38717,Abrahamia grandidieri,,Abrahamia,grandidieri,,sohihy;hazombasy,,,,0.0
38720,38721,Abrahamia sericea,,Abrahamia,sericea,,tsimalazo,,,,0.0
39020,39021,Abrus aureus,,Abrus,aureus,,masomamboatorana;voatorana;masamamboatorana;masamamboagara;saravokatra;vahimboamena;masogoaiky;voamatora;masonangatra;masogaga,,,,0.0
37392,37393,Abrus fruticulosus,,Abrus,fruticulosus,,,,,,1.0
38828,38829,Abrus madagascariensis,,Abrus,madagascariensis,,,,,,1.0
38816,38817,Abrus sambiranensis,,Abrus,sambiranensis,,,,,,1.0
37798,37799,Abrus schimperi,,Abrus,schimperi,,,,,,0.0
35030,35031,Abutilon depauperatum,,Abutilon,depauperatum,,abrojo,,,,0.0
29036,29037,Abutilon eremitopetalum,,Abutilon,eremitopetalum,,hidden-petaled abutilon;hiddenpetal indian mallow,,,,1.0
29037,29038,Abutilon menziesii,,Abutilon,menziesii,,ko'oloa'ula,,,,1.0
23158,23159,Abutilon sachetianum,,Abutilon,sachetianum,,,,,,1.0
29038,29039,Abutilon sandwicense,,Abutilon,sandwicense,,greenflower indian mallow,,,,1.0
34552,34553,Acacia aemula,Leguminosae,Acacia,aemula,,,,,,0.0
25968,25969,Acacia albicorticata,Leguminosae,Acacia,albicorticata,,,,,,1.0
37811,37812,Acacia allenii,Leguminosae,Acacia,allenii,,cornizuelo;cachito,,,,1.0
