,id,genus,species,sub_species,main_common_name,other_common_names,status
25259,66177787,Struthiola,montana,,,,DD
25260,97241904,Polystachya,virginea;parva,,,,EN
25261,97242050,Aframomum,wuerthii,,,,LC
25262,97242152,Cyperus,afromontanus,,,,DD
25263,56347723,Costus,montanus,,,,NT
25264,66178142,Aloe,ballii,,,,VU
25265,66178177,Aloe,makurupiniensis;ballii,,,,VU
25266,97242258,Isolepis,ruwenzoriensis,,,,LC
25267,56347808,Costus,nitidus,,,,EN
25268,110087344,Leptonychia,kamerunensis,,,,VU
25269,56347828,Costus,osae,,,,VU
25270,66178232,Aloe,hazeliana,,,,LC
25271,66178277,Aloe,hazeliana,,,,LC
25272,56347879,Costus,plicatus,,,,LC
25273,95407362,Sorbus,vajdae,,,,DD
25274,66178311,Aloe,hazeliana;howmanii,,,,LC
25275,108645666,Coffea,alleizettii,,,,CR
25276,97242440,Agrostis,isopholis,,,,LC
25277,66178379,Aloe,munchii,,,,LC
25278,56347981,Costus,ricus,,,,LC
25279,66178396,Aloe,musapana,,,,VU
25280,97242474,Chrysochloa,hubbardiana,,,,EN
25281,110087540,Rinorea,simoneae,,,,EN
25282,97242503,Panicum,shinyangense,,,,DD
25283,66178494,Aloe,plowesii,,,,VU
25284,66178528,Aloe,rhodesiana,,,,VU
25285,89640469,Gagea,peruzzii,,Peruzzi’s Gagea,Gagée de Peruzzi;Peruzzi’s Gagea;Cipollaccio giallo di Peruzzi,LC
25286,103534115,Adenocarpus,gibbsianus,,,,VU
25287,110087720,Leptonychia,moyesiae,,,,NT
25288,47435456,Lijndenia,udzungwarum,,,,LC
25289,47435484,Memecylon,sp.,,,,EN
25290,47435493,Memecylon,trunciflorum,,,,LC
25291,66178796,Xyris,asterotricha,,,,VU
25292,58969895,Desmodium,subsecundum,,,,DD
25293,65523532,Barleria,insolita,,,,EN
25294,65523538,Goodyera,perrieri,,,,CR
25295,65523549,Uvaria,ambongoensis,,,,EN
25296,65523550,Goodyera,flaccida,,,,CR
25297,65523554,Cynorkis,cuneilabia,,,,EN
25298,65523561,Blepharis,maculata,,,,EN
25299,65523563,Barleria,dulcis,,,,EN
25300,65523568,Artabotrys,darainensis,,,,EN
25301,65523570,Cynorkis,formosa,,,,CR
25302,65523571,Blepharis,crinita,,,,EN
25303,65523576,Bulbophyllum,ceriodorum,,,,CR
25304,65523578,Barleria,longipes,,,,EN
25305,65523579,Cynorkis,globifera,,,,CR
