,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
109,Leguminosae,Acacia,albicorticata,,,,,,1.0
110,Leguminosae,Acacia,allenii,,cornizuelo;cachito,,,,1.0
111,Leguminosae,Acacia,alpina,,alpine wattle,,,,0.0
112,Leguminosae,Acacia,amazonica,,,,,,0.0
113,Leguminosae,Acacia,anegadensis,,pokemeboy,,,,1.0
114,Leguminosae,Acacia,aneura,,mulga,,,,0.0
115,Leguminosae,Acacia,ankokib,,han ko kib;xankokib;ankokib,,,,1.0
116,Leguminosae,Acacia,aphylla,,leafless rock wattle,,,,1.0
117,Leguminosae,Acacia,aprica,,blunt wattle,,,,1.0
118,Leguminosae,Acacia,argyraea,,,,,,0.0
119,Leguminosae,Acacia,asepala,,,,,,1.0
120,Leguminosae,Acacia,ataxiphylla,,large-fruited tammin wattle,,,,1.0
121,Leguminosae,Acacia,aulacocarpa,,,,,,0.0
122,Leguminosae,Acacia,auratiflora,,orange-flowered wattle,,,,1.0
123,Leguminosae,Acacia,auriculiformis,,arr;kra thin tepa;acacia;brown salwood;black wattle;tongke hutan;ear-leaf acacia;mangge hutan;kayu safoda,MY;TH;ID;US;PG;GB;AU,1.0,0.0,0.0
124,Leguminosae,Acacia,ausfeldii,,whipstick cinnamon wattle;ausfeld's wattle,,,,1.0
125,Leguminosae,Acacia,basedowii,,basedow's wattle,,,,0.0
126,Leguminosae,Acacia,belairioides,,,,,,1.0
127,Leguminosae,Acacia,betchei,,red-tip wattle,,,,0.0
128,Leguminosae,Acacia,bifaria,,,,,,1.0
129,Leguminosae,Acacia,brachypoda,,western wheatbelt wattle,,,,1.0
130,Leguminosae,Acacia,bucheri,,,,,,1.0
131,Leguminosae,Acacia,bussei,,galol,,,,0.0
132,Leguminosae,Acacia,caesia,,,,,,0.0
133,Leguminosae,Acacia,campbellii,,,,,,1.0
134,Leguminosae,Acacia,caraniana,,calakuyaal,,,,0.0
135,Leguminosae,Acacia,castanostegia,,,,,,0.0
136,Leguminosae,Acacia,cernua,,,,,,0.0
137,Leguminosae,Acacia,chiapensis,,,,,,0.0
138,Leguminosae,Acacia,chrysotricha,,bellinger river wattle;newry golden wattle,,,,1.0
139,Leguminosae,Acacia,condyloclada,,calakuyaal;adad geri;hobobloh;cadaad geri,,,,0.0
140,Leguminosae,Acacia,confluens,,arkaroola wattle;wyrilda,,,,0.0
141,Leguminosae,Acacia,crassicarpa,,,,,0.0,1.0
142,Leguminosae,Acacia,crassiuscula,,,,,,0.0
143,Leguminosae,Acacia,cyperophylla,,creekline miniritchi;omeara's red mulga;red mulga;weeping red mulga,,,,0.0
144,Leguminosae,Acacia,daemon,,,,,,1.0
145,Leguminosae,Acacia,decurrens,,,,,0.0,
146,Leguminosae,Acacia,dempsteri,,,,,,0.0
147,Leguminosae,Acacia,densispina,,fulaay,,,,1.0
148,Leguminosae,Acacia,dolichostachya,,,,,,0.0
149,Leguminosae,Acacia,donaldii,,,,,,1.0
150,Leguminosae,Acacia,ehrenbergiana,,salam,,,,0.0
151,Leguminosae,Acacia,ensifolia,,,,,,0.0
152,Leguminosae,Acacia,eremophila,,,,,,0.0
153,Leguminosae,Acacia,etilis,,,,,,1.0
154,Leguminosae,Acacia,euthyphylla,,,,,,0.0
155,Leguminosae,Acacia,excelsa,,rosewood;bunkerman;ironwood;doodlallie,,,,0.0
156,Leguminosae,Acacia,ferruginea,,,,,,1.0
157,Leguminosae,Acacia,fimbriata,,fringed wattle;brisbane golden wattle,,,,0.0
158,Leguminosae,Acacia,flagellaris,,warwar,,,,1.0
159,Leguminosae,Acacia,formidabilis,,,,,,0.0
160,Leguminosae,Acacia,furcatispina,,teatín;garabato blanco;tíntitaco;brea;tintitaco,,,,0.0
161,Leguminosae,Acacia,gaumeri,,,,,,0.0
162,Leguminosae,Acacia,gilliesii,,brea;tintitaco,,,,0.0
163,Leguminosae,Acacia,glaucocarpa,,,,,,0.0
164,Leguminosae,Acacia,gracilenta,,,,,,0.0
165,Leguminosae,Acacia,graniticola,,,,,,0.0
166,Leguminosae,Acacia,hadrophylla,,,,,,0.0
167,Leguminosae,Acacia,hebeclada,chobiensis,,,,,0.0
168,Leguminosae,Acacia,hecatophylla,,long pod,,,,0.0
169,Leguminosae,Acacia,hilliana,,hill's tabletop wattle,,,,0.0
170,Leguminosae,Acacia,hippuroides,,,,,,0.0
171,Leguminosae,Acacia,hirta,,,,,,1.0
172,Leguminosae,Acacia,homaloclada,,,,,,0.0
173,Leguminosae,Acacia,hydaspica,,,,,,0.0
174,Leguminosae,Acacia,imitans,,gibson wattle,,,,1.0
175,Leguminosae,Acacia,jacksonioides,,,,,,1.0
176,Leguminosae,Acacia,jennerae,,coonavittra wattle,,,,0.0
177,Leguminosae,Acacia,koa,,koa;gray koa,,,0.0,0.0
178,Leguminosae,Acacia,koaia,,koai'a;koai'e;koa'oha,,,,1.0
179,Leguminosae,Acacia,lanigera,,hairy wattle;woolly wattle,,,,0.0
180,Leguminosae,Acacia,latispina,,,,,,1.0
181,Leguminosae,Acacia,leucospira,,,,,,0.0
182,Leguminosae,Acacia,linearifolia,,stringybark wattle;narrow-leaved wattle,,,,0.0
183,Leguminosae,Acacia,loderi,,nealie;broken hill gidgee;myall;nelia,,,,1.0
184,Leguminosae,Acacia,longipedunculata,,,,,,0.0
185,Leguminosae,Acacia,mangium,,arr;kra thin tepa;acacia;brown salwood;black wattle;tongke hutan;mangge hutan;kayu safoda,MY;TH;ID;US;PG;GB;AU,1.0,0.0,
186,Leguminosae,Acacia,manubensis,,xankokib;ankokib,,,,1.0
187,Leguminosae,Acacia,mathuataensis,,,,,,1.0
188,Leguminosae,Acacia,mearnsii,,,,,0.0,
189,Leguminosae,Acacia,melanoxylon,,,,,0.0,
190,Leguminosae,Acacia,melvillei,,yarran,,,,0.0
191,Leguminosae,Acacia,menabeensis,,,,,,1.0
192,Leguminosae,Acacia,mitchellii,,mitchell's wattle,,,,0.0
