,Unnamed: 0.1,Unnamed: 0.1.1,hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw
1214,1214,1214,9405.40.84.40,4,Other,,[ [ [ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Other electric lamps && lighting fittings ] && [ ![ Of base metal ] ] ] && [ ![ Light-emitting diode (LED) backlights modules &&  the foregoing which are lighting sources that consist of one or more LEDs && one or more connectors && are mounted on a printed circuit or other similar substrate &&  && other passive components &&  whether or not combined with optical components or protective diodes &&  && used as backlights illumination for liquid crystal displays (LCDs) ] ] ] && [ ![ Other lighting sets ] ] ],fix light;sign;light fitting;spotlight;nameplate;like;fitting;electric lamp;light source;lamps,backlight illumination;foregoing;protective diode;passive component;optical component;backlight module;crystal display;liquid crystal;base metal;lcds;lighting set;similar substrate;connector;print circuit;light source;emit diode
1215,1215,1215,9405.50,1,Non-electrical lamps && lighting fittings,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Non-electrical lamps && lighting fittings ],fix light;sign;light fitting;spotlight;electrical lamp;nameplate;like;non;light source;lamps,
1216,1216,1216,9405.50.20.00,2,Incandescent lamps designed to be operated by propane or other gas &&  or by compressed air && kerosene or gasoline,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Non-electrical lamps && lighting fittings ] && [ Incandescent lamps designed to be operated by propane or other gas &&  or by compressed air && kerosene or gasoline ],propane;kerosene;compressed air;gasoline;fix light;sign;lamp design;light fitting;incandescent lamp;spotlight;electrical lamp;nameplate;like;gas;non;light source;lamps,
1217,1217,1217,,2,Other,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Non-electrical lamps && lighting fittings ] && [ ![ Incandescent lamps designed to be operated by propane or other gas &&  or by compressed air && kerosene or gasoline ] ] ],fix light;sign;light fitting;spotlight;electrical lamp;nameplate;like;non;light source;lamps,propane;kerosene;compressed air;gasoline;lamp design;incandescent lamp;gas
1218,1218,1218,9405.50.30.00,3,Of brass,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Non-electrical lamps && lighting fittings ] && [ ![ Incandescent lamps designed to be operated by propane or other gas &&  or by compressed air && kerosene or gasoline ] ] ] && [ Of brass ],fix light;sign;light fitting;spotlight;electrical lamp;nameplate;brass;like;non;light source;lamps,propane;kerosene;compressed air;gasoline;lamp design;incandescent lamp;gas
1219,1219,1219,9405.50.40.00,3,Other,,[ [ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Non-electrical lamps && lighting fittings ] && [ ![ Incandescent lamps designed to be operated by propane or other gas &&  or by compressed air && kerosene or gasoline ] ] ] && [ ![ Of brass ] ] ],fix light;sign;light fitting;spotlight;electrical lamp;nameplate;like;non;light source;lamps,propane;kerosene;compressed air;gasoline;lamp design;incandescent lamp;brass;gas
1220,1220,1220,9405.60,1,Illuminated signs &&  illuminated nameplates && the like,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Illuminated signs &&  illuminated nameplates && the like ],fix light;sign;light fitting;spotlight;nameplate;like;light source;lamps,
1221,1221,1221,,2,Of base metal,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Illuminated signs &&  illuminated nameplates && the like ] && [ Of base metal ],fix light;sign;light fitting;spotlight;nameplate;base metal;like;light source;lamps,
1222,1222,1222,9405.60.20.00,3,Of brass,,[ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Illuminated signs &&  illuminated nameplates && the like ] && [ Of base metal ] && [ Of brass ],fix light;sign;light fitting;spotlight;brass;nameplate;base metal;like;light source;lamps,
1223,1223,1223,9405.60.40.00,3,Other,,[ [ Lamps && lighting fittings including searchlights && spotlights && parts thereof &&  not elsewhere specified or included; illuminated signs &&  illuminated nameplates && the like &&  having a permanently fixed light source &&  && parts thereof not elsewhere specified or included ] && [ Illuminated signs &&  illuminated nameplates && the like ] && [ Of base metal ] && [ ![ Of brass ] ] ],fix light;sign;light fitting;spotlight;nameplate;base metal;like;light source;lamps,brass
