,Unnamed: 0.1,Unnamed: 0.1.1,hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw
188,188,188,4408.10.01.45,2,Other,,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ Coniferous ] && [ ![ Douglas fir ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;coniferous;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,douglas fir
189,189,189,,1,Of tropical wood,,[ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ Of tropical wood ],jointed;slice laminated;veneer;sheet;similar laminated;tropical wood;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,
190,190,190,4408.31.01.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,,[ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ Of tropical wood ] && [ Dark Red Meranti &&  Light Red Meranti && Meranti Bakau ],jointed;slice laminated;veneer;sheet;similar laminated;tropical wood;splice;peel;plywood;mm;obtain;sand;red meranti;thickness;meranti bakau;laminated wood;end;light red;dark red,
191,191,191,4408.39.02,2,Other,,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ Of tropical wood ] && [ ![ Dark Red Meranti &&  Light Red Meranti && Meranti Bakau ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;tropical wood;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,meranti bakau;red meranti;light red;dark red
192,192,192,4408.39.02.10,3,Spliced or end-jointed,,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ Of tropical wood ] && [ ![ Dark Red Meranti &&  Light Red Meranti && Meranti Bakau ] ] ] && [ Spliced or end-jointed ],jointed;slice laminated;veneer;sheet;similar laminated;tropical wood;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,meranti bakau;red meranti;light red;dark red
193,193,193,4408.39.02.90,3,Other,,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ Of tropical wood ] && [ ![ Dark Red Meranti &&  Light Red Meranti && Meranti Bakau ] ] ] && [ ![ Spliced or end-jointed ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;tropical wood;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,jointed;splice;red meranti;meranti bakau;end;light red;dark red
194,194,194,4408.90.01,1,Other,,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,tropical wood;coniferous
195,195,195,,2,Spliced or end-jointed,,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,tropical wood;coniferous
196,196,196,4408.90.01.05,3,Ash (Fraxinus spp.),Fraxinus spp.,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ Ash (Fraxinus spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;splice;ash;peel;plywood;mm;obtain;fraxinus spp;sand;thickness;laminated wood;end,tropical wood;coniferous
197,197,197,4408.90.01.10,3,Birch (Betula spp.),Betula spp.,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ Birch (Betula spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;birch;betula spp;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,tropical wood;coniferous
198,198,198,4408.90.01.15,3,Cherry (Prunus spp.),Prunus spp.,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ Cherry (Prunus spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;splice;cherry;peel;plywood;mm;obtain;prunus spp;sand;thickness;laminated wood;end,tropical wood;coniferous
199,199,199,4408.90.01.21,3,Maple (Acer spp.),Acer spp.,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ Maple (Acer spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;acer spp;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end;maple,tropical wood;coniferous
200,200,200,,3,Oak (Quercus spp.),Quercus spp.,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ Oak (Quercus spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;oak;sand;quercus spp;thickness;laminated wood;end,tropical wood;coniferous
201,201,201,4408.90.01.31,4,Red,Quercus spp.,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ Oak (Quercus spp.) ] && [ Red ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;oak;sand;quercus spp;thickness;laminated wood;end;red,tropical wood;coniferous
202,202,202,4408.90.01.37,4,Other,Quercus spp.,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ Oak (Quercus spp.) ] && [ ![ Red ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;oak;sand;quercus spp;thickness;laminated wood;end,tropical wood;coniferous;red
203,203,203,4408.90.01.45,3,Walnut (Juglans spp.),Juglans spp.,[ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ Walnut (Juglans spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;juglans spp;splice;peel;plywood;mm;obtain;walnut;sand;thickness;laminated wood;end,tropical wood;coniferous
204,204,204,4408.90.01.51,3,Other,,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ Spliced or end-jointed ] && [ ![ Walnut (Juglans spp.) ] && ![ Oak (Quercus spp.) ] && ![ Maple (Acer spp.) ] && ![ Cherry (Prunus spp.) ] && ![ Birch (Betula spp.) ] && ![ Ash (Fraxinus spp.) ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,tropical wood;coniferous;juglans spp;birch;betula spp;cherry;ash;quercus spp;prunus spp;walnut;oak;fraxinus spp;acer spp;maple
205,205,205,,2,Other,,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,tropical wood;coniferous;end;jointed;splice
206,206,206,4408.90.01.56,3,Ash (Fraxinus spp.),Fraxinus spp.,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ Ash (Fraxinus spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;splice;ash;peel;plywood;mm;obtain;fraxinus spp;sand;thickness;laminated wood;end,tropical wood;coniferous;end;jointed;splice
207,207,207,4408.90.01.61,3,Birch (Betula spp.),Betula spp.,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ Birch (Betula spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;birch;betula spp;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,tropical wood;coniferous;end;jointed;splice
208,208,208,4408.90.01.66,3,Cherry (Prunus spp.),Prunus spp.,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ Cherry (Prunus spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;splice;cherry;peel;plywood;mm;obtain;prunus spp;sand;thickness;laminated wood;end,tropical wood;coniferous;end;jointed;splice
209,209,209,4408.90.01.71,3,Maple (Acer spp.),Acer spp.,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ Maple (Acer spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;acer spp;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end;maple,tropical wood;coniferous;end;jointed;splice
210,210,210,,3,Oak (Quercus spp.),,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ Oak (Quercus spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;oak;sand;quercus spp;thickness;laminated wood;end,tropical wood;coniferous;end;jointed;splice
211,211,211,4408.90.01.76,4,Red,,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ Oak (Quercus spp.) ] && [ Red ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;oak;sand;quercus spp;thickness;laminated wood;end;red,tropical wood;coniferous;end;jointed;splice
212,212,212,4408.90.01.81,4,Other,,[ [ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ Oak (Quercus spp.) ] && [ ![ Red ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;oak;sand;quercus spp;thickness;laminated wood;end,tropical wood;coniferous;jointed;splice;red;end
213,213,213,4408.90.01.87,3,Walnut (Juglans spp.),Juglans spp.,[ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ Walnut (Juglans spp.) ],jointed;slice laminated;veneer;sheet;similar laminated;juglans spp;splice;peel;plywood;mm;obtain;walnut;sand;thickness;laminated wood;end,tropical wood;coniferous;end;jointed;splice
214,214,214,4408.90.01.97,3,Other,,[ [ [ [ Sheets for veneering (including those obtained by slicing laminated wood) &&  for plywood or for similar laminated wood && other wood &&  sawn lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded &&  spliced or end-jointed &&  of a thickness not exceeding 6 mm ] && [ ![ Of tropical wood ] && ![ Coniferous ] ] ] && [ ![ Spliced or end-jointed ] ] ] && [ ![ Walnut (Juglans spp.) ] && ![ Oak (Quercus spp.) ] && ![ Maple (Acer spp.) ] && ![ Cherry (Prunus spp.) ] && ![ Birch (Betula spp.) ] && ![ Ash (Fraxinus spp.) ] ] ],jointed;slice laminated;veneer;sheet;similar laminated;splice;peel;plywood;mm;obtain;sand;thickness;laminated wood;end,tropical wood;coniferous;jointed;juglans spp;acer spp;birch;betula spp;splice;cherry;ash;quercus spp;prunus spp;walnut;oak;fraxinus spp;end;maple
215,215,215,4409,0,Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed,,[ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ],jointed;wood;round;mold;PRON edge;parquet flooring;groove;strip;rebate;chamfer;friez;sand;shape;bead;like;face;tongue;end,
216,216,216,4409.10,1,Coniferous,,[ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;groove;strip;rebate;chamfer;friez;sand;shape;bead;like;face;tongue;end,
217,217,217,4409.10.05.00,2,Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed,,[ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;foregoing;groove;strip;rebate;chamfer;friez;sand;shape;bead;like;face;tongue;end;PRON end,
218,218,218,,2,Other,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;groove;strip;rebate;chamfer;friez;sand;shape;bead;like;face;tongue;end,jointed;wood;foregoing;sand;face;PRON edge;PRON end
219,219,219,4409.10.10,3,Wood siding,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;groove;strip;rebate;chamfer;wood siding;friez;sand;shape;bead;like;face;tongue;end,jointed;wood;foregoing;sand;face;PRON edge;PRON end
220,220,220,,4,Resawn bevel siding,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ] && [ Resawn bevel siding ],coniferous;round;resawn bevel;wood siding;rebate;sand;face;PRON edge;mold;parquet flooring;groove;strip;friez;bevel siding;end;jointed;wood;chamfer;shape;bead;like;tongue,jointed;wood;foregoing;sand;face;PRON edge;PRON end
221,221,221,4409.10.10.20,5,Western red cedar,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ] && [ Resawn bevel siding ] && [ Western red cedar ],coniferous;round;resawn bevel;wood siding;rebate;red cedar;sand;face;PRON edge;mold;parquet flooring;groove;strip;friez;bevel siding;end;jointed;wood;chamfer;western red;shape;bead;like;tongue,jointed;wood;foregoing;sand;face;PRON edge;PRON end
222,222,222,4409.10.10.40,5,Other,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ] && [ Resawn bevel siding ] && [ ![ Western red cedar ] ] ],coniferous;round;resawn bevel;wood siding;rebate;sand;face;PRON edge;mold;parquet flooring;groove;strip;friez;bevel siding;end;jointed;wood;chamfer;shape;bead;like;tongue,jointed;wood;foregoing;western red;red cedar;sand;face;PRON edge;PRON end
223,223,223,,4,Other,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ] && [ ![ Resawn bevel siding ] ] ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;groove;strip;rebate;chamfer;wood siding;friez;sand;shape;bead;like;face;tongue;end,jointed;wood;foregoing;resawn bevel;sand;bevel siding;face;PRON edge;PRON end
224,224,224,4409.10.10.60,5,Western red cedar,,[ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ] && [ ![ Resawn bevel siding ] ] ] && [ Western red cedar ],coniferous;round;wood siding;rebate;red cedar;sand;face;PRON edge;mold;parquet flooring;groove;strip;friez;end;jointed;wood;chamfer;western red;shape;bead;like;tongue,jointed;wood;foregoing;resawn bevel;sand;bevel siding;face;PRON edge;PRON end
225,225,225,4409.10.10.80,5,Other,,[ [ [ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood siding ] && [ ![ Resawn bevel siding ] ] ] && [ ![ Western red cedar ] ] ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;groove;strip;rebate;chamfer;wood siding;friez;sand;shape;bead;like;face;tongue;end,jointed;wood;foregoing;resawn bevel;western red;red cedar;sand;bevel siding;face;PRON edge;PRON end
226,226,226,4409.10.20.00,3,Wood flooring,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood flooring ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;wood floor;groove;strip;rebate;chamfer;friez;sand;shape;bead;like;face;tongue;end,jointed;wood;foregoing;sand;face;PRON edge;PRON end
227,227,227,,3,Wood moldings,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;wood molding;groove;strip;rebate;chamfer;friez;sand;shape;bead;like;face;tongue;end,jointed;wood;foregoing;sand;face;PRON edge;PRON end
228,228,228,,4,Standard wood molding,,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ] && [ Standard wood molding ],jointed;wood;round;mold;PRON edge;coniferous;parquet flooring;wood molding;groove;strip;rebate;chamfer;standard wood;friez;sand;shape;bead;like;face;tongue;end,jointed;wood;foregoing;sand;face;PRON edge;PRON end
229,229,229,4409.10.40,5,Pine (Pinus spp.),Pinus spp.,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ] && [ Standard wood molding ] && [ Pine (Pinus spp.) ],coniferous;round;rebate;sand;face;PRON edge;pinus spp;pine;mold;standard wood;parquet flooring;groove;strip;friez;wood molding;end;jointed;wood;chamfer;shape;bead;like;tongue,jointed;wood;foregoing;sand;face;PRON edge;PRON end
230,230,230,4409.10.40.10,6,End-jointed,Pinus spp.,[ [ Wood (including strips && friezes for parquet flooring &&  not assembled) continuously shaped (tongued &&  grooved &&  rebated &&  chamfered &&  V-jointed &&  beaded &&  molded &&  rounded or the like) along any of its edges &&  ends or faces &&  whether or not planed &&  sanded or end-jointed ] && [ Coniferous ] && [ ![ Wood continuously shaped along any of its ends &&  whether or not also continuously shaped along any of its edges or faces &&  all the foregoing whether or not planed &&  sanded or end-jointed ] ] ] && [ Wood moldings ] && [ Standard wood molding ] && [ Pine (Pinus spp.) ] && [ End-jointed ],coniferous;round;rebate;sand;face;PRON edge;pinus spp;pine;mold;standard wood;parquet flooring;groove;strip;friez;wood molding;end;jointed;wood;chamfer;shape;bead;like;tongue,jointed;wood;foregoing;sand;face;PRON edge;PRON end
