Clibadium alatum
Ronnbergia campanulata
Brunellia boqueronensis
Meriania pichinchensis
Dypsis linearis
Trichilia hispida
Pouteria polysepala
Eugenia zeyheri
Guzmania atrocastanea
Pereskia aculeata
Calamus wailong
Eugenia brownei
Aloe leptosiphon
Arachniodes tsiangiana
Magnolia mariusjacobsia
Dipterocarpus littoralis
Mastixiodendron stoddardii
Memecylon royenii
Anthocleista microphylla
Horsfieldia decalvata
Zanthoxylum nadeaudii
Pavetta sphaerobotrys
Magnolia ptaritepuiana
Acidocroton verrucosus
Abies vejarii
Couratari calycina
Euphorbia paulianii
Iris calabra
Iris bismarckiana
Lavandula latifolia
Gynoxys leiotheca
Sarcolaena isaloensis
Casearia flexula
Isoetes spinulospora
Rinorea fausteana
Glenniea unijuga
Onosma nigricaulis
Vatica scortechinii
Polygala sinisica
Magnolia multinervia
Syzygium cordifolium
Astronidium storckii
Cardamine pratensis
Aglaia hiernii
Beta patula
Macrozamia cranei
Iris grant-duffii
Angraecum peyrotii
Allium sprengeri
Ceratozamia alvarezii
Maytenus eggersii
Licania fasciculata
Nasa profundilobata
Coprosma cookei
Pleuranthodium pterocarpum
Azolla pinnata
Corylus sieboldiana
Coffea liberica
Coprosma wallii
Pouteria bracteata
Rutidea nigerica
Metatrophis margaretae
Craterispermum longipedunculatum
Micropolypodium aphelolepis
Amomum xanthioides
Columnea ovatifolia
Shorea disticha
Melicope cinerea
Pandanus microcarpus
Badula platyphylla
Rondeletia racemosa
Aglaia pleuropteris
Brachiaria ramosa
Premna maxima
Burmeistera resupinata
Damrongia integra
Coccoloba nigrescens
Anthurium dolichophyllum
Asparagus arborescens
Boronella koniamboensis
Heracleum freynianum
Lamyropsis microcephala
Begonia truncicola
Phyllanthus atalotrichus
Zamia amazonum
Chrysophyllum brenesii
Tillandsia raackii
Hampea micrantha
Corydalis tarkiensis
Toussaintia orientalis
Paradrymonia hypocyrta
Ranunculus flammula
Eschweilera rodriguesiana
Vatica pentandra
Ocotea langsdorffii
Calyptranthes flavo-viridis
Jumellea anjouanensis
Verbesina mameana
Coffea jumellei
Campanula engurensis
Astragalus pseudochlorostachys
Magnolia faustinomirandae
Melicope zahlbruckneri
Pinus sylvestris
Calycorectes wurdackii
Elaphoglossum corazonense
Kotschya micrantha
Lespedeza thunbergii
Dypsis laevis
Guzmania zakii
Gordonia penangensis
Allium obtusiflorum
Piper azuaiense
Xylotheca fissistyla
Clethra javanica
Melicope cruciata
Bactris nancibensis
Wolffiella repanda
Blakea rotundifolia
Nothaphoebe javanica
Anthurium scaberulum
Ruppia maritima
Asparagus sekukuniensis
Begonia exalata
Memecylon sessilicarpum
Campomanesia prosthecesepala
Ficus meizonochlamys
Lingelsheimia sylvestris
Platanthera praeclara
Horsfieldia penangiana
Pittosporum letocartiorum
Silene hicesiae
Xyris kundelungensis
Zamia encephalartoides
Cleistocactus variispinus
Goniothalamus calycinus
Passiflora ampullacea
Vepris allenii
Camellia longzhouensis
Eschweilera obversa
Sinadoxa corydalifolia
Miconia poecilantha
Begonia seychellensis
Micronychia kotozafii
Quercus skutchii
Lythrum portula
Browningia amstutziae
Voanioala gerardii
Blakea formicaria
Rytigynia eickii
Zanthoxylum ferrugineum
Adiantum lianxianense
Acalypha wilderi
Triclisia macrophylla
Asarum gusk
Hibbertia tontoutensis
Grewia salicifolia
Nymphaea sulphurea
Cyrtandra tavinunensis
Senecio amplificatus
Antimima eendornensis
Magnolia rajaniana
Arum purpureospathum
Pultenaea setulosa
Rhus brenanii
Helianthemum guerrae
Tillandsia fasciculata
Magnolia gloriensis
Uvariodendron anisatum
Asplenium ruwenzoriense
Tabernaemontana corymbosa
Melocactus pachyacanthus
Trachyandra peculiaris
Cipocereus bradei
Benthamia elata
Horsfieldia pandurifolia
Deinbollia saligna
Hypericum asplundii
Vitex acunae
Vriesea melgueiroi
Ilex williamsii
Liquidambar orientalis
Betula maximowicziana
Passiflora jamesonii
Heisteria asplundii
Avicennia germinans
Phyllanthus rangoloakensis
Memecylon lawsonii
Psychotria globicephala
Winklerella dichotoma
Ceratostylis scariosa
Dracula antonii
Rollinia helosioides
Heracleum scabrum
Chlorocardium rodiei
Wiborgiella sessilifolia
Crambe arborea
Mammea novoguineensis
Tulipa gumusanica
Gagea algeriensis
Pinus krempfii
Arabis sadina
Nymphaea alba
Pilosocereus diersianus
Kibatalia borneensis
Saponaria jagelii
Arctophila fulva
Rondeletia brachyphylla
Cola gigas
Eulychnia acida
Plectranthus bipinnatus
Marsilea batardae
Sorbus subpinnata
Allium pelagicum
Hibbertia deplancheana
Lysimachia rubricaulis
Actinodaphne albifrons
Knema celebica
Pereskia grandifolia
Picea abies
Amygdalus kansuensis
Sloanea lepida
Isoglossa bondwaensis
Ravenea dransfieldii
Turraea barbata
Goniothalamus gardneri
Coffea mangoroensis
Euphorbia pellegrini
Sarcolaena multiflora
Mellissia begonifolia
Gesneria scabra
Terminalia pellucida
Dypsis perrieri
Karima scarciesii
Echium stenosiphon
Dypsis thermarum
Allium asarense
Dactyladenia dichotoma
Aphanactis barclayae
Myristica ovicarpa
Camellia tenii
Echinocereus engelmannii
Melanodendron integrifolium
Callitris roei
Lunania elongata
Doryopteris angelica
Verbesina minuticeps
Woodsia indusiosa
Englerophytum rwandense
Cecropia utcubambana
Abies georgei
Anthurium conterminum
Meriania kirkbridei
Terniopsis ramosa
Plectranthus scaposus
Margaritaria anomala
Podocarpus palawanensis
Sorbus minima
Cotoneaster thimphuensis
Embelia upembensis
Piptostigma calophyllum
Peperomia inconspicua
Wimmeria montana
Bulbophyllum polliculosum
Astragalus leucolobus
Genista canariensis
Schefflera rubriflora
Hopea parviflora
Begonia hainanensis
Robinsonella mirandae
Memecylon cinereum
Ceropegia ugeni
Psychotria sordida
Viola cryana
Brunellia farallonensis
Mangifera paludosa
Allium insubricum
Calanthe fargesii
Marila spiciformis
Shorea macrobalanos
Cassipourea subsessilis
Juniperus occidentalis
Eugenia discors
Brugmansia sanguinea
Pinus ponderosa
Prunus walkeri
Canavalia madagascariensis
Ravenea moorei
Impatiens anovensis
Vicia kalakhensis
Torreya grandis
Macrozamia cardiacensis
Epipactis tallosii
Mammillaria perbella
Brachyotum russatum
Podocarpus buchii
Cycas siamensis
Echium pininana
Trichilia primogenita
Ficus lapathifolia
Philodendron nanegalense
Corylopsis coreana
Campomanesia viatoris
Larix mastersiana
Parnassia palustris
Pinus dalatensis
Shorea leprosula
Nectandra psammophila
Atuna penangiana
Aciotis aristellata
Zamia standleyi
Aphelandra loxensis
Crambe sventenii
Colubrina oppositifolia
Conostegia extinctoria
Dehaasia lancifolia
Sorbus bohemica
Flueggea neowawraea
Euphorbia cuneifolia
Cyperus sensilis
Dombeya ledermannii
Daphne altaica
Ravenea rivularis
Tropaeolum umbellatum
Weinmannia descendens
Codia triverticillata
Lamprolobium grandiflorum
Barleria limnogeton
Canarium whitei
Clerodendrum galeatum
Idiopappus saloyensis
Isopterygium strangulatum
Uvariodendron giganteum
Matisia palenquiana
Meineckia filipes
Nypa fruticans
Cephalocroton socotranus
Eleocharis erythropoda
Madhuca penangiana
Psydrax ficiformis
Sarcolophium suberosum
Menyanthes trifoliata
Vanilla planifolia
Navia scirpiflora
Geniostoma stipulare
Dendrophorbium angelense
Mammillaria johnstonii
Pouteria triplarifolia
Schiedea adamantis
Cyanea hamatiflora
Buddleja lojensis
Placodiscus attenuatus
Mezia tomentosa
Sorbus hybrida
Ferocactus tiburonensis
Sarcotheca hirsuta
Rosa zakatalensis
Drypetes travancoria
Platycladus orientalis
Callitriche pulchra
Calophyllum savannarum
Cycas nongnoochiae
Eugenia myriantha
Clidemia cutucuensis
Inversodicraea cristata
Lecomtedoxa plumosa
Achyrocline glandulosa
Ocotea rotundata
Cupaniopsis euneura
Hortonia angustifolia
Hyphaene reptans
Magnolia guangxiensis
Impatiens letouzeyi
Aechmea roeseliae
Jacaranda arborea
Pseudospondias microcarpa
Gasteranthus bilsaensis
Quararibea velutina
Alternanthera snodgrassii
Bulbostylis schoenoides
Burmeistera domingensis
Calyptranthes kiaerskovii
Zamia variegata
Piper chimborazoense
Planchonella sessilis
Astrophytum coahuilense
Miconia floccosa
Eugenia schulziana
Myristica crassipes
Aconitum corsicum
Fleischmannia aequinoctialis
Rorippa hispanica
Carduus nyassanus
Paraboea longipetiolata
Rondeletia portlandensis
Vangueria kyimbilensis
Oligactis ecuadoriensis
Ossaea palenquensis
Stenocarpus dumbeensis
Gracilaria skottsbergii
Ocotea argylei
Ficus ursina
Anaphalis leptophylla
Stachytarpheta svensonii
Dendropanax darienensis
Lithocarpus indutus
Palicourea stenosepala
Phoenix atlantica
Afrocarpus mannii
Vicia tenuifolia
Daviesia mollis
Prunus spinosa
Charpentiera densiflora
Myristica gillespieana
Monodora carolinae
Masdevallia atahualpa
Dypsis curtisii
Antithamnion veleroae
Dimorphocalyx beddomei
Prunus murrayana
Dypsis pilulifera
Cybianthus cogolloi
Echium decaisnei
Psychotria chimboracensis
Bombacopsis quinata
Pyrus communis
Oreopanax rosei
Najas baldwinii
Phyllanthus gentryi
Topobea parvifolia
Geissanthus fallenae
Aglaia odorata
Aloe pembana
Tannodia swynnertonii
Cavanillesia platanifolia
Echinocereus chisosensis
Xyris bampsii
Crossandra nobilis
Normanbya normanbyi
Dorstenia tayloriana
Guzmania izkoi
Epiphyllum oxypetalum
Peddiea involucrata
Pilea pollicaris
Actinokentia huerlimannii
Huperzia scabrida
Aspidosperma ingratum
Hordeum bulbosum
Hapaline locii
Scutellaria sarmentosa
Eschweilera venezuelica
Mimosa polydidyma
Canthium neilgherrense
Glycosmis bidiensis
Mandevilla dodsonii
Parodia crassigibba
Stenocactus sulphureus
Lannea transulta
Panisea yunnanensis
Crotalaria hemsleyi
Pittosporum morierei
Khaya anthotheca
Dactylorhiza sambucina
Tieghemella africana
Dypsis betamponensis
Amomum verum
Eugenia scheffleri
Paphiopedilum lawrenceanum
Sicana trinitensis
Magnolia minor
Canarium reniforme
Kentiopsis pyriformis
Asarum celsum
Gerbera hypochaeridoides
Huperzia ascendens
Limnophila rugosa
Miconia sodiroi
Pearcea intermedia
Santiria sarawakana
Cyanea asplenifolia
Acropogon schefflerifolius
Tabernaemontana gamblei
Shorea ochrophloia
Rhytidophyllum laevigatum
Xenophyllum rigidum
Streptocarpus compressus
Aegiphila fasciculata
Palaquium petiolare
Stenostephanus harlingii
Urbananthus pubescens
Brunellia racemifera
Garcinia tanzaniensis
Staurogyne pseudocapitata
Cryptocarya stocksii
Aeschynanthus minutifolius
Cycas annaikalensis
Pavetta tarennoides
Agathis dammara
Discocactus hartmannii
Aloe brandhamii
Peperomia guayaquilensis
Guzmania condorensis
Shorea chaiana
Guatteria jefensis
Persea julianae
Pappobolus nigrescens
Amblyopyrum muticum
Pseudalthenia aschersoniana
Bidens eatonii
Sorbus arvonensis
Himatanthus stenophyllus
Pittosporum leratii
Prunus mahaleb
Acis nicaeensis
Cycas dolichophylla
Bauhinia cunninghamii
Lepechinia rufocampii
Peperomia parvilimba
Sideroxylon inerme
Asystasia lindauiana
Betula baschkirica
Griffinia intermedia
Lellingeria strangeana
Dendrobium guangxiense
Astragalus harrisonii
Scolopia oreophila
Strongylodon crassifolius
Quercus ilicifolia
Aponogeton bruggenii
Quercus flagellifera
Cissampelos nigrescens
Forsteronia linearis
Justicia takhinensis
Carya sinensis
Myristica pubicarpa
Eriosema robustum
Brassica rupestris
Arytera nekorensis
Bidens amplissima
Gustavia sessilis
Brunfelsia portoricensis
Cirsium oblongifolium
Leiothylax quangensis
Tabebuia furfuracea
Sorbus neglecta
Gnetum arboreum
Syzygium phaeophyllum
Picea acicularis
Couroupita nicaraguarensis
Symplocos nivea
Magnolia clemensiorum
Placodiscus bancoensis
Prunus ceylanica
Anthonotha vignei
Philodendron simmondsii
Nepenthes diatas
Guioa capillacea
Casearia flavovirens
Clibadium subsessilifolium
Paphiopedilum fowliei
Sideroxylon fimbriatum
Juniperus californica
Monotes lutambensis
Exacum nossibeense
Magnolia lacei
Premna grandifolia
Acer caesium
Weinmannia tenuior
Cupressus goveniana
Cleistocactus jajoanus
Horsfieldia obtusa
Jeffreya petitiana
Carpoxylon macrospermum
Meryta raiateensis
Oreopanax lehmannii
Areca macrocarpa
Petrocosmea condorensis
Echium gentianoides
Lotus mollis
Geissanthus ecuadorensis
Palaquium zeylanicum
Guzmania septata
Vatica harmandiana
Pradosia granulosa
Acer leipoense
Cyrtandra giffardii
Diospyros rheophytica
Memecylon alipes
Sphaerocoryne gracilis
Iris nusairiensis
Parodia rechensis
Polylepis hieronymi
Chapmannia sericea
Aglaia edulis
Aloe sinana
Curcuma roscoeana
Encephalartos delucanus
Drepanocladus sparsus
Floscopa scandens
Gratiola linifolia
Tillandsia portillae
Peperomia guttulata
Plantago tanalensis
Barleria aristata
Carex walkeri
Commidendrum rugosum
Euphorbia pachypodioides
Meriania pastazana
Conyza schlechtendalii
Pinus attenuata
Acianthera tokachii
Kudoacanthus albo-nervosa
Tovomita aequatoriensis
Meryta mauruensis
Salvia lobbii
Hibbertia favieri
Chrysophyllum paranaense
Malus spectabilis
Miconia glandulosa
Shorea gibbosa
Ophrypetalum odoratum
Pachycereus gaumeri
Dypsis brevicaulis
Clermontia oblongifolia
Ixora burundiensis
Kyllinga oblonga
Litsea claviflora
Dioon spinulosum
Dacryodes elmeri
Joannesia princeps
Miconia explicita
Tectaria chimborazensis
Symplocos baehnii
Brachyglottis pentacopa
Abies pindrow
Eulophia mangenotiana
Diospyros feliciana
Vigna tisserantiana
Ptychosperma gracile
Cyanea macrostegia
Tournefortia rufo-sericea
Guioa molliuscula
Mammillaria tayloriorum
Bulbostylis densa
Vatica diospyroides
Embelia keniensis
Peperomia persulcata
Eugenia amoena
Adansonia grandidieri
Dacryodes patentinervia
Baccaurea odoratissima
Iris spuria
Rhodymenia decumbens
Rhododendron protistum
Nageia fleuryi
Dolichos reptans
Salacia volubilis
Picea schrenkiana
Stipa bavarica
Galeopsis segetum
Huertea cubensis
Centranthus trinervis
Knema krusemaniana
Coelocarpum haggierensis
Miconia hylophila
Asplenium complanatum
Amomum calcaratum
Passiflora eggersii
Trigonobalanus excelsa
Elaphoglossum chodatii
Eucalyptus morrisbyi
Calathea roseobracteata
Carex kashmirensis
Nothofagus stylosa
Eschweilera mexicana
Artemisia genipi
Carex nigra
Dendrophorbium dodsonii
Lotus eremiticus
Equisetum hyemale
Viburnum arboreum
Aloe tororoana
Alnus trabeculosa
Schinus venturi
Aloe medishiana
Eugenia setosa
Gardenia mannii
Dionaea muscipula
Columnea katzensteinii
Inversodicraea torrei
Podocarpus sellowii
Juttadinteria kovisimontana
Miconia barbipilis
Pradosia argentea
Paulownia kawakamii
Heliotropium kuriense
Marsdenia exellii
Micklethwaitia carvalhoi
Viburnum subdentatum
Sorbus budaiana
Cladopus fallax
Larnax psilophyta
Asystasia minutiflora
Drymophloeus subdistichus
Peperomia fagerlindii
Antirrhinum subbaeticum
Myristica olivacea
Pholidocarpus macrocarpus
Viola amamiana
Calophyllum insularum
Zeuxine rolfiana
Aloe perryi
Clusia longipetiolata
Hugonia micans
Alternanthera filifolia
Pouteria bullata
Dalzellia kailarsenii
Pisonia wagneriana
Xanthocyparis vietnamensis
Lepidium carrerasii
Echinocereus freudenbergeri
Tillandsia cardenasii
Magnolia gigantifolia
Semecarpus nigro-viridis
Cyperus rheophytorum
Xylosma serpentinum
Faurea macnaughtonii
Cirsium imereticum
Hopea racophloea
Myristica petiolata
Couroupita guianensis
Pyrrosia liebuschii
Eriosyce sociabilis
Commidendrum rotundifolium
Drypetes nervosa
Cochleanthes trinitatis
Tillandsia sodiroi
Angraecum protensum
Delonix velutina
Gomortega keule
Mimosa longipes
Roupala loxensis
Siccobaccatus dolichospermaticus
Athamanta cortiana
Benthamia nigrescens
Gymnostemon zaizou
Puya angelensis
Plerandra nono
Carlina diae
Desmocladus glomeratus
Joosia standleyana
Pinus teocote
Crudia penduliflora
Quercus trojana
Cyclosorus interruptus
Aphanes cotopaxiensis
Madhuca cuprea
Acrosorium papenfussii
Euphorbia guillauminiana
Pilea baurii
Cypripedium passerinum
Pinus densa
Bellevalia webbiana
Crotalaria leandriana
Fagara mezoneurospinosa
Calathea hagbergii
Lacistema lucidum
Mangifera indica
Anthurium bimarginatum
Euphorbia biharamulensis
Madhuca insignis
Campomanesia phaea
Salvia unguella
Paphiopedilum urbanianum
Prunus odorata
Echeandia flavescens
Basselinia humboldtiana
Nesaea linearis
Parodia neoarechavaletae
Conyza perrieri
Corryocactus aureus
Tabernaemontana thurstonii
Hyeronima clusioides
Ternstroemia bullata
Acer duplicatoserratum
Jatropha nana
Schiedea kauaiensis
Aspalathus macrantha
Podocarpus henkelii
Shorea multiflora
Chisocheton pentandrus
Persea pallescens
Convolvulus ruprechtii
Mesogyne insignis
Nepenthes burbidgeae
Leptocereus wrightii
Caryodaphnopsis cogolloi
Gentianella polyantha
Isoglossa substrobilina
Huperzia compacta
Stolzia moniliformis
Pouteria peduncularis
Ixora temehaniensis
Bolboschoenus grandispicus
Pittosporum cherrieri
Psidium rostratum
Parodia nivosa
Derris polyantha
Sorbus parviloba
Anthurium cuspidiferum
Arbutus canariensis
Bursera hollickii
Hatiora rosea
Conostegia superba
Sarracenia montana
Lagarosiphon steudneri
Fritillaria drenovskii
Eriosyce crispa
Austrobuxus montis-do
Camellia pubifurfuracea
Pinus coulteri
Anthurium saccardoi
Coccothrinax crinita
Comocladia cordata
Pitavia punctata
Turraea socotrana
Fissidens hydropogon
Artocarpus treculianus
Sorbus kmetiana
Xanthostemon oppositifolius
Phaedranassa brevifolia
Myrcia crassimarginata
Aristida guayllabambensis
Elattostachys aiyurensis
Pitcairnia caduciflora
Symplocos nairii
Carpinus londoniana
Cryptocarya elliptifolia
Euphorbia fuscolanata
Ranalisma rostrata
Eugenia crassipetala
Viburnum mortonianum
Horsfieldia subalpina
Guioa waigeoensis
Paspalidium geminatum
Hibbertia emarginata
Opuntia tomentosa
Diplostephium juniperinum
Avicennia lanata
Helicia calocoma
Warneckea wildeana
Habenaria finetiana
Ardisia martinensis
Pararistolochia goldieana
Reldia calcarata
Hernandia drakeana
Justicia faulknerae
Trichoscypha bijuga
Asphodelus bento-rainhae
Potamogeton alpinus
Stenocereus thurberi
Cinnamomum macrocarpum
Aglaia penningtoniana
Afrocanthium keniense
Rhamphicarpa medwedewii
Strobilanthes accrescens
Syzygium micranthum
Camptostemon philippinense
Memecylon varians
Dypsis henrici
Sedum euxinum
Acalypha tunguraguae
Gladiolus andringitrae
Actinodaphne fragilis
Agelanthus longipes
Cryptocarya palawanensis
Dendroseris berteriana
Brasilicereus estevesii
Isachne meeboldii
Pinanga tashiroi
Astragalus maraziensis
Piper coeloneurum
Athanasia spathulata
Annesorhiza radiata
Lophophora williamsii
Angraecopsis tridens
Eugenia umtamvunensis
Zamia macrochiera
Diospyros platanoides
Labordia lanaiensis
Linaria loeselii
Magnolia narinensis
Salacia dimidia
Licaria velutina
Gardenia grievei
Saribus jeanneneyi
Galanthus trojanus
Burretiodendron hsienmu
Tinnea vesiculosa
Nepenthes distillatoria
Hydrocharis morsus-ranae
Manilkara maxima
Anadenanthera colubrina
Magnolia fistulosa
Ceriops decandra
Coprosma benefica
Roystonea regia
Miconia dodsonii
Epithelantha micromeris
Chaerophyllum astrantiae
Microcos laurifolia
Leptocereus paniculatus
Bencomia caudata
Schoepfia harrisii
Disperis masoalensis
Pittosporum hematomallum
Burmeistera asplundii
Dendrophorbium solisii
Knema korthalsii
Adenocarpus anisochilus
Micromeria forbesii
Justicia amanda
Cordia alliodora
Nepenthes palawanensis
Saurauia striata
Homalium leratiorum
Eugenia tabouensis
Psephellus appendicigerus
Zenkerella perplexa
Newmania orthostachys
Hypericum gnidiifolium
Aegilops biuncialis
Ellipanthus hemandradenioides
Sylvichadsia grandifolia
Sporobolus durus
Meriania maguirei
Asparagus nesiotes
Taxus nana
Disperis aphylla
Drepanolejeunea bakeri
Axinaea sodiroi
Prumnopitys taxifolia
Tetradenia nervosa
Actinostrobus pyramidalis
Prunus subcordata
Silene biafrae
Amomum lambirense
Hesperomannia arbuscula
Rotala smithii
Limnophila polyantha
Dicraeopetalum stipulare
Ornithogalum libanoticum
Loricaria antisanensis
Gustavia speciosa
Parathesis glaberima
Manilkara gonavensis
Goniothalamus salicinus
Eugenia grandifolia
Pharus ecuadoricus
Polylepis rugulosa
Rondeletia dolphinensis
Pittosporum gracile
Ferocactus emoryi
Isatis bungeana
Pterospermum cumingii
Anthurium anceps
Blepharis turkanae
Genista insularis
Gasteranthus carinatus
Rubus takhtadjanii
Wettinia hirsuta
Euonymus walkeri
Phyllopentas ledermannii
Phyllota squarrosa
Saxifraga tombeanensis
Oxalis pennelliana
Syzygium alternifolium
Deinbollia macrantha
Nargedia macrocarpa
Madhuca microphylla
Mollugo flavescens
Vernonia ballyi
Tylophora urceolata
Zanthoxylum atchoum
Eryngium alpinum
Pilea topensis
Magnolia katiorum
Dipterocarpus glandulosus
Tournefortia ramosissima
Ottelia brachyphylla
Magnolia kachirachirai
Latania loddigesii
Chisocheton pauciflorus
Manettia nebulosa
Connarus popenoei
Hopea paucinervis
Cycas chamaoensis
Hampea dukei
Calophyllum hirasimum
Najas welwitschii
Melocactus andinus
Rumex palustris
Abrahamia grandidieri
Anacolosa densiflora
Oritrophium ollgaardii
Sapindus oahuensis
Begonia pseudoviola
Delphinium caseyi
Magnolia odoratissima
Phyllanthus revaughanii
Helicia peltata
Meliosma youngii
Dypsis interrupta
Lycopodiella inundata
Myristica arfakensis
Centaurea heldreichii
Acropogon moratianus
Dioscorea orizabensis
Craterispermum montanum
Amomum microcarpum
Bauhinia purpurea
Henckelia rotundata
Ceropegia ludlowii
Bussea eggelingii
Copiapoa solaris
Oreopanax sessiliflorus
Rondeletia anguillensis
Anisotes guineensis
Olearia traversii
Lathyrus rotundifolius
Peperomia litana
Litosanthes capitulatus
Gnetum catasphaericum
Bilacunaria caspia
Magnolia vallartensis
Abrus fruticulosus
Stelis itatiayae
Gaussia gomez-pompae
Stipa gegarkunii
Rytigynia bagshawei
Angraecum muscicolum
Eulophia parilamellata
Memecylon dasyanthum
Nothaphoebe pahangensis
Spiraeanthus schrenkianus
Ferula communis
Horsfieldia discolor
Tephrosia subnuda
Blechnum socialis
Abies fargesii
Carex nebrascensis
Pisonia donnell-smithii
Pycreus polystachyos
Anthurium esmeraldense
Abies spectabilis
Amsinckia marginata
Lysimachia ovoidea
Chionanthus avilensis
Cyperus pennatiformis
Dypsis ambanjae
Eugenia klossii
Ulmus crassifolia
Uvaria lungonyana
Puya nutans
Alyssum pyrenaicum
Picea neoveitchii
Scalesia stewartii
Astronidium kasiense
Sorbus gauckleri
Lythrum junceum
Vatica obscura
Fuchsia hypoleuca
Pouteria dictyoneura
Carum jahandiezii
Physalis greenmanii
Aglaia densitricha
Magnolia lacandonica
Thymus capitellatus
Najas tenuifolia
Begonia mbangaensis
Chrysosplenium dubium
Camellia hongkongensis
Pearsonia bracteata
Romulea phoenicia
Sorbus leighensis
Magnolia duclouxii
Dacrydium pectinatum
Licania grandibracteata
Heritiera longipetiolata
Lecythis lanceolata
Marsilea botryocarpa
Monticalia teretifolia
Onobrychis viciifolia
Argyranthemum thalassophilum
Pyrus ciancioi
Anarrhinum longipedicellatum
Lycochloa avenacea
Ditrichum cornubicum
Euphorbia bourgeana
Guzmania henniae
Micropholis submarginalis
Miyamayomena koraiensis
Ochrosia haleakalae
Gluema ivorensis
Hymenocoleus glaber
Diospyros trichophylla
Barleria amanensis
Anthonotha lebrunii
Cephalotaxus wilsoniana
Cypripedium lichiangense
Gagea luberonensis
Medicago strasseri
Fargesia mairei
Myrcia almasensis
Shorea lunduensis
Torreya jiulongshanensis
Ardisia carchiana
Mammillaria variaculeata
Symphytum podcumicum
Poa pseudobulbosa
Galeandra bicarinata
Pentadesma lebrunii
Urtica kioviensis
Lessertia argentea
Emilia bellioides
Sorbus herefordensis
Ayapanopsis luteynii
Scirpoides holoschoenus
Crotonogyne zenkeri
Hopea pachycarpa
Symplocos barberi
Terminalia kangeanensis
Dichapetalum reticulatum
Centella asiatica
Convolvulus durandoi
Horsfieldia irya
Cyanea shipmanii
Atalaya capensis
Bleasdalea papuana
Carex lyngbyei
Actinidia suberifolia
Dipterocarpus dyeri
Betula karagandensis
Hopea gregaria
Hopea pterygota
Carpinus microphylla
Cyanea humboldtiana
Habenaria maitlandii
Licania brevis
Coffea rhamnifolia
Juniperus barbadensis
Mundulea stenophylla
Calophyllum piluliferum
Barbamine ketzkhovelii
Persea hintonii
Carex canescens
Calophyllum tomentosum
Freziera cordata
Vincetoxicum pannonicum
Encephalartos natalensis
Gagea sicula
Symplocos molinae
Cheirodendron forbesii
Phoenix paludosa
Barleria aenea
Cryptocoryne cruddasiana
Heliotropium paulayanum
Lithocarpus hendersonianus
Pilea laevicaulis
Gomidesia cambessedeana
Crocus hartmannianus
Paraboea robusta
Asplundia truncata
Aloe jacksonii
Astragalus langtangensis
Nepenthes boschiana
Jurinea fontqueri
Bulbophyllum minax
Basselinia velutina
Abies sikokiana
Lipocarpha micrantha
Phragmipedium hirtzii
Gagea omalensis
Knema tridactyla
Puya reflexiflora
Magnolia ekmanii
Asteriscus smithii
Cycas apoa
Angraecum sanfordii
Copiapoa angustiflora
Eschweilera piresii
Escobaria minima
Hygrophila stagnalis
Lotus armeniacus
Melolobium subspicatum
Phragmipedium schlimii
Pilea selbyanorum
Potamogeton pusillus
Prunus mexicana
Cryptomeria japonica
Sideritis javalambrensis
Rhynchospora hildebrandtii
Arbutus unedo
Magnolia sulawesiana
Mangifera flava
Aglaia elliptica
Barleria popovii
Allium peroninianum
Elatine ojibwayensis
Genlisea barthlottii
Malleastrum leroyi
Euphorbia iharanae
Piper cutucuense
Ladenbergia pavonii
Bauhinia picta
Agasthiyamalaia pauciflora
Ardisia scortechinii
Saxifraga berica
Liriodendron chinense
Brillantaisia stenopteris
Calamagrostis chalybaea
Carex rossii
Eremospatha barendii
Gladiolus italicus
Aegilops geniculata
Hypericum socotranum
Teucrium charidemi
Allium horvatii
Paraboea uniflora
Rhaptopetalum sindarense
Coccothrinax inaguensis
Ilex subtriflora
Cynorkis crispa
Pittosporum malaxanii
Lithophila subscaposa
Begonia xerophyta
Cola lourougnonis
Mimusops acutifolia
Cyanea mceldowneyi
Myristica kosteriana
Ocotea staminoides
Epistemma rupestre
Amorpha crenulata
Cyanea magnicalyx
Kibatalia wigmani
Carlowrightia ecuadoriana
Melpomene brevipes
Palicourea heilbornii
Zamia ipetiensis
Diospyros dicorypheoides
Alstonia henryi
Gypsophila takhtadzhanii
Carpodiptera ophiticola
Cariniana pyriformis
Echinocereus reichenbachii
Vatica ridleyana
Borassus madagascariensis
Mangifera austro-indica
Culcasia sanagensis
Ammannia calcicola
Pterospermum subpeltatum
Scutellaria rhomboidalis
Alternanthera nesiotes
Huperzia dacrydioides
Ostrya chisosensis
Otiophora devrediana
Pentameris ecklonii
Begonia preussii
Varronia wagnerorum
Aniba pilosa
Xylotheca tettensis
Calyptranthes uniflora
Periploca chevalieri
Rhododendron subansiriense
Allium galanthum
Aristolochia thwaitesii
Shorea palosapis
Picea rubens
Euphorbia didiereoides
Encephalartos schaijesii
Entandrophragma utile
Aneilema mortonii
Myriophyllum spicatum
Khaya ivorensis
Ossaea sparrei
Paphiopedilum ooii
Helicia subcordata
Encephalartos concinnus
Conophytum halenbergense
Xylopia longifolia
Kemulariella abchasica
Virola parvifolia
Sedum brissemoretii
Saurauia harlingii
Abarema racemiflora
Byttneria ivorensis
Lespedeza cuneata
Pearcea glabrata
Reynosia jamaicensis
Puya laccata
Terminalia kuhlmannii
