Clibadium alatum
Saraca asoca
Asplundia cayapensis
Maytenus harenensis
Daphne arbuscula
Monopetalanthus durandii
Polyscias aemiliguineae
Miconia glyptophylla
Astragalus bosbutooensis
Deuterocohnia chrysantha
Erythrina polychaeta
Fulfordianthus evansii
Masoala kona
Pitcairnia devansayana
Senecio iscoensis
Sideritis cystosiphon
Richella hainanensis
Grandiphyllum schunkeanum
Amorphophallus stuhlmannii
Zanthoxylum heterophyllum
Dacrydium leptophyllum
Bupleurum latissimum
Hyptis diversifolia
Gordonia villosa
Lebronnecia kokioides
Pittosporum poueboense
Pseuduvaria cerina
Persea purpusii
Kunkeliella psilotoclada
Echinopsis thelegona
Lemuropisum edule
Falcatifolium angustum
Tsaiorchis neottianthoides
Dryopteris podosorus
Carex punctata
Betula okuboi
Dendropanax ovalifolius
Satakentia liukiuensis
Licuala polyschista
Sorbus eugenii-kelleri
Lemna minor
Opuntia velutina
Sarcolaena delphinensis
Ageratina dendroides
Uapaca niangadoumae
Vriesea andreettae
Arundinella dagana
Pereskia zinniiflora
Tovomitopsis faucis
Anisophyllea impressinervia
Bambusa clavata
Commiphora chaetocarpa
Cephalotaxus nana
Trifolium scabrum
Stephensoniella brevipedunculata
Cyperus microcristatus
Opuntia atrispina
Livistona drudei
Prunus fenzliana
Tilia cordata
Betula fruticosa
Astragalus mollissimus
Pereskia lychnidiflora
Cirsium chrysacanthum
Sorbus franconica
Symplocos cuneata
Gnaphalium chimborazense
Syzygium guehoi
Rosa arabica
Campylanthus glaber
Carex pauciflora
Crotalaria johannis
Ravenea beentjei
Turbinicarpus lophophoroides
Sesbania bispinosa
Encephalartos princeps
Achyrocline hallii
Dovyalis cameroonensis
Shorea macrophylla
Astragalus paralurges
Limonium strictissimum
Sorbus pontis-satanae
Myristica andamanica
Carex azuayae
Xylopia collina
Esenbeckia berlandieri
Glochidion ralphii
Eugenia bayatensis
Gamblea malayana
Polycarpaea gayi
Tillandsia hemkeri
Manilkara dardanoi
Oligactis asplundii
Dorstenia hildebrandtii
Pepinia alexanderi
Polygala kuriensis
Cyanea platyphylla
Monodora globiflora
Cinnamodendron cubense
Clidemia acostae
Psephellus bagadensis
Pleuranthodium papilionaceum
Magnolia pallescens
Diphasiopsis fadenii
Lotus benoistii
Magnolia floribunda
Sorindeia calantha
Pavetta subumbellata
Thuja standishii
Matelea honorana
Schefflera pueckleri
Munnozia liaboides
Belostemma yunnanense
Oenanthe javanica
Coprosma laevigata
Alnus pendula
Iris marsica
Angraecum rigidifolium
Quercus muehlenbergii
Crambe armena
Triglochin maritima
Campanula kolakovskyi
Blepharispermum hirtum
Selaginella carinata
Fimbristylis hirsutifolia
Protium tenuifolium
Plantago lacustris
Begonia oxyanthera
Streptocarpus montanus
Polystachya brugeana
Pinus radiata
Psephellus straminicephalus
Diospyros nur
Myrcianthes ferreyrae
Uvaria kweichowensis
Bonnetia multinervia
Cerastium alsinifolium
Goniothalamus hookeri
Rollinia amazonica
Staurogyne bicolor
Carex parryana
Potamogeton berchtoldii
Ilex cowanii
Matucana paucicostata
Stemonoporus acuminatus
Prunus gracilis
Oxera nuda
Pritchardia lanaiensis
Shorea slootenii
Beilschmiedia giorgii
Teline nervosa
Empogona taylorii
Phyllanthus mananarensis
Fuirena felicis
Sorbus rupicola
Anthonotha leptorrhachis
Fargesia ferax
Limnophila indica
Alloxylon brachycarpum
Maranthes corymbosa
Manilkara mayarensis
Cola glabra
Rytigynia longipedicellata
Helianthus exilis
Stevia dianthoidea
Aconitum austrokoreense
Myristica velutina
Abarema bigemina
Macropodiella heteromorpha
