hscode_6,keywords,sc_names
940320,locker;metal furniture;foldable mattress;chapter;statistical note;household;partition;fit steel;unit prepackage;metal;rack;adjustable bed;cribs;cradle;depth;length exceed;floor;bassinet;boltless;foldable;press;describe;counters;display case;yard;bed frame;width exceed;iron board;stationary;furniture;enclosure;adjustable;mattress base;cm;leg;similar fixture;confine child;shelf;sale;toddler bed;characteristic;mattress foundation,
940330,kind use;wood furniture;office;bent;wooden furniture;furniture,
940340,kind use;wood furniture;bent;design;vehicle use;wooden furniture;kitchen;permanent installation;furniture;table;motor vehicle;cabinet design,
940350,kind use;wood furniture;bent;beds;design;bassinet;cribs;vehicle use;cradle;toddler bed;bedroom;wooden furniture;furniture;motor vehicle,
940360,wood furniture;confine child;bent;table;yard;wooden furniture;furniture;enclosure,
940370,plastic;reinforce;office;confine child;household;bassinet;cribs;cradle;toddler bed;yard;furniture;enclosure;laminated plastic,
940382,osier;bamboo;cane;confine child;household;similar material;bassinet;cribs;cradle;yard;toddler bed;furniture;enclosure,
940383,osier;rattan;bamboo;cane;confine child;household;similar material;bassinet;cribs;cradle;yard;toddler bed;furniture;enclosure,
940389,osier;bamboo;cane;confine child;household;similar material;toddler bed;bassinet;cribs;cradle;yard;osi;furniture;enclosure,
940390,plate;reinforce;rack decking;welded wire;cotton;toddler bed;child;metal;kind use;bamboo;coat;galvanized;shape;cradle;play yard;wire rack;bassinet;rattan;plastic;furniture;enclosure;parts;osier;wood;cribs;cane;textile material;confine child;similar material;rubber;motor vehicle;laminated plastic,
940410,mattress support;material;plastic;bedding;eiderdown;article;pouffes;example;quilt;pillow;spring;fit;stuff;cellular rubber;similar furnishing;cushion,
940421,mattress support;bedding;quilt;toddler bed;stuff;material;eiderdown;pouffes;use;example;depth;length exceed;plastic;crib;fit;cm;mattresses;article;width;pillow;spring;cellular rubber;similar furnishing;cushion,
940429,mattress support;bedding;quilt;cotton;toddler bed;stuff;material;eiderdown;pouffes;use;example;depth;length exceed;plastic;crib;fit;cm;mattresses;article;width;pillow;spring;cellular rubber;similar furnishing;cushion;innerspre unit,
940430,mattress support;percent;material;plastic;bedding;eiderdown;article;pouffes;sleep bag;example;quilt;feather and/or;pillow;spring;fit;stuff;cellular rubber;similar furnishing;weight;cushion,
940490,mattress support;percent;bedding;quilt;cotton;stuff;mm;fiber;comforter;weight;silk waste;outer shell;material;similar article;eiderdown;pouffes;example;embroidery;applique work;quilts;plastic;lace;fit;pipe;edge;article;textile material;pillow;spring;pillows;cellular rubber;man;similar furnishing;cushion,
940510,kind use;light fitting;like;thoroughfare;lamps;nameplate;open space;household;light public;base metal;fix light;sign;searchlight;brass;spotlight;light source;public open;chandeliers;electric ceiling;wall light,
940520,light fitting;lamp;nameplate;desk;lamps;bedside;base metal;household;fix light;sign;searchlight;brass;spotlight;electric table;light source;like;floor,
940530,kind use;miniature series;light fitting;christmas tree;lamps;nameplate;series wire;fix light;sign;searchlight;spotlight;lighting set;light source;like,
940540,light fitting;foregoing;print circuit;connector;brass;spotlight;crystal display;use;electric lamp;emit diode;nameplate;passive component;fix light;sign;searchlight;lighting set;light source;lcds;similar substrate;mount;backlight module;lamps;optical component;protective diode;base metal;backlight illumination;like;liquid crystal;led,
940550,gasoline;kerosene;light fitting;lamp design;lamps;nameplate;incandescent lamp;fix light;sign;searchlight;compress air;brass;spotlight;gas;propane;light source;like;electrical lamp;non,
940560,light fitting;lamps;nameplate;base metal;fix light;sign;searchlight;brass;spotlight;light source;like,
940591,kind use;light fitting;shade;lamps;nameplate;glass article;chimneys;fix light;sign;searchlight;chandelier;prisms;spotlight;lead crystal;globes;light source;like;wall bracket;glass;parts,
940592,light fitting;plastic;lamps;nameplate;fix light;sign;searchlight;spotlight;light source;like;parts,
940599,light fitting;cast iron;lamps;nameplate;basis;lampposts;aluminum;fix light;sign;searchlight;brass;spotlight;light source;like;parts,
940610,wood;building,
940690,plastic;greenhouses;animal shed;commercial;metal;building,
950300,similar wheeled;label;pedal car;scale;tricycles;productsë ®;use;carriage;doll;define;inflatable toy;toy ball;year;âchildrenê¼s productsë;scooter;recreational model;u.s.c. â§;work;kind;wheeled toy;accessory;punchball;balloon;importer;rubber;âscaleë ®;age;person;similar recreational;intend,
950420,game console;article;bowling alley;arcade;billiard;special table;chalk;automatic bowling;accessory;articles;balls;alley equipment;bagatelle;pinball machine;video game;kind;casino game;tables;parlor game,
950430,type machine;arcade;games;payment;pinball machine;coin;bank card;mean;game console;banknote;bowling alley;automatic bowling;bagatelle;bell;special table;alley equipment;video game;casino game;parts;accessory;article;video;billiard;console;token;game;parlor game,
950440,game console;article;bowling alley;arcade;billiard;special table;automatic bowling;accessory;card;alley equipment;bagatelle;pinball machine;video game;casino game;parlor game,
950450,game console;subheade;article;bowling alley;arcade;billiard;special table;automatic bowling;accessory;alley equipment;bagatelle;pinball machine;video game;casino game;machine;parlor game,
950490,arcade;parlor game;discs;immediate container;combination;checker;pinball machine;coin;board;unit;retail sale;game console;similar article;banknote;bowling alley;poker chip;automatic bowling;parchisi;bagatelle;special design;backgammon;paper currency;bowling equipment;dice;special table;domino;alley equipment;video game;casino game;accessory;type use;bowling ball;article;billiard;chess;jong;mah;game;dart;game machine,
950510,practical joke;glass;wood;plastic;christmas tree;festive;carnival;accessory;christmas ornament;nativity scene;joke article;figure;artificial christmas;christmas festivity;magic trick;entertainment article;articles,
950590,practical joke;festive;party favor;noisemaker;carnival;confetti;streamer;joke article;paper spiral;magic trick;entertainment article;accessory,
950611,chapter;athletic;ski pole;cross;tennis;country ski;articles;ski equipment;snowboards;gymnastic;general physical;skis;physical exercise;snow;table;parts;accessory;ski;wade pool;sport;outdoor game;equipment,
