iucn_status_code,genus,species,common_names
VU,Croton,sulcifructus,
VU,Euphorbia,obcordata,
LC,Jatropha,unicostata,
NT,Acacia,pennivenia,
VU,Dracaena,cinnabari,dragon's blood tree;dragon's blood tree
LC,Acridocarpus,socotranus,
LC,Placopoda,virgata,
LR/nt,Allophylus,rhoidiphyllus,
VU,Grewia,turbinata,
VU,Clerodendrum,galeatum,
VU,Clerodendrum,leucophloeum,
LR/nt,Alluaudia,procera,fantsy olotra;arbre pieuvre
LR/nt,Alluaudia,procera,fantsilotra;arbre pieuvre
LR/nt,Alluaudia,procera,arbre pieuvre;arbre pieuvre
LR/nt,Alluaudia,procera,fantsiholitra;arbre pieuvre
CR,Serianthes,nelsonii,trongkon lago
CR,Serianthes,nelsonii,hayun lagu
CR,Serianthes,nelsonii,tronkon guati
CR,Serianthes,nelsonii,hayun lago
CR,Serianthes,nelsonii,trongkon guafi
EN,Dactyladenia,cinerea,
VU,Gilbertiodendron,pachyanthum,
CR,Microberlinia,bisulcata,zebrano
CR,Microberlinia,bisulcata,zingana
CR,Monopetalanthus,hedinii,andoung
CR,Monopetalanthus,hedinii,audong
VU,Medusandra,richardsiana,
EN,Warneckea,wildeana,
DD,Balsamocitrus,camerunensis,
LR/nt,Oriciopsis,glaberrima,
EN,Scalesia,cordata,heart-leafed scalesia;heart-leafed scalesia
EN,Scalesia,cordata,lechoso;heart-leafed scalesia
EN,Scalesia,microcephala,lechoso
EN,Scalesia,cordifolia,lechoso
EN,Scalesia,microcephala,lechoso
VU,Scalesia,pedunculata,lechoso
VU,Lippia,salicifolia,
VU,Scalesia,baurii,pinta sunflower-tree;pinta sunflower-tree
CR,Centaurodendron,dracaenoides,
CR,Centaurodendron,palmiforme,
CR,Dendroseris,litoralis,
CR,Dendroseris,macrantha,
CR,Dendroseris,macrophylla,
CR,Dendroseris,marginata,
CR,Cuminia,eriantha,
CR,Cuminia,fernandezia,
VU,Myrceugenia,schulzei,
VU,Coprosma,pyrifolia,
VU,Coprosma,oliveri,
VU,Fagara,externa,
VU,Fagara,mayu,
VU,Rhaphithamnus,venustus,
VU,Drimys,confertifolia,
LR/lc,Polyscias,marchionensis,
LR/lc,Glochidion,marchionicum,
LR/nt,Cyrtandra,feaniana,
LR/lc,Hernandia,nukuhivensis,
LR/lc,Alphitonia,marquesensis,
DD,Ixora,marquesensis,
DD,Psychotria,adamsonii,
DD,Psychotria,le-bronnecii,
DD,Allophylus,marquesensis,
CR,Abies,nebrodensis,sicilian fir;sicilian fir
CR,Abies,nebrodensis,abete delle madonie;sicilian fir
CR,Abies,nebrodensis,abete dei nebrodi;sicilian fir
LR/nt,Pseudopanax,gilliesii,
EN,Brachyglottis,arborescens,three kings rangiora;three kings rangiora
CR,Pennantia,baylisiana,three kings kaikomako;three kings kaikomako
VU,Elingamita,johnsonii,
VU,Myrsine,oliveri,
VU,Pittosporum,fairchildii,fairchild's kohuhu;fairchild's kohuhu
LR/nt,Pittosporum,obcordatum,heart-leaved kohuhu;heart-leaved kohuhu
LR/cd,Pittosporum,turneri,tent pole tree;turner's kohuhu
LR/cd,Pittosporum,turneri,turner's kohuhu;turner's kohuhu
LR/nt,Pittosporum,virgatum,
VU,Chordospartium,stevensonii,weeping broom;weeping tree broom
VU,Chordospartium,stevensonii,weeping tree broom;weeping tree broom
VU,Chordospartium,stevensonii,cord broom;weeping tree broom
LR/nt,Notospartium,carmichaeliae,pink broom;pink broom
LR/nt,Notospartium,glabrescens,pink broom;pink broom
LR/nt,Olearia,traversii,chatham island tree daisy;chatham island akeake
LR/nt,Olearia,traversii,chatham island akeake;chatham island akeake
LR/nt,Corokia,macrocarpa,whakataka
LR/nt,Corokia,macrocarpa,hokataka
VU,Hebe,barkeri,;barker’s koromiko
VU,Hebe,barkeri,chatham island tree hebe;barker’s koromiko
VU,Homalanthus,polyandrus,kermadec poplar;kermadec poplar
EN,Boehmeria,dealbata,
EN,Boehmeria,australis,
LR/nt,Pseudopanax,ferox,fierce lancewood;fierce lancewood
VU,Araucaria,heterophylla,norfolk island pine;norfolk island pine
VU,Araucaria,heterophylla,star pine;norfolk island pine
CR,Campnosperma,seychellarum,
EN,Polyscias,sechellarum,bwa bannann
EN,Colea,seychellarum,bilenbi maron
NT,Dillenia,ferruginea,bwa rouz
LC,Erythroxylum,sechellarum,kafe maron pti fey
VU,Excoecaria,benthamiana,bwa zasmin
CR,Rapanea,seychellarum,
VU,Syzygium,wrightii,bwa pom
